date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1117.0,1120.0,1107.1,1110.6,-1.19,1964,2186177.5
2026-02-11,1138.1,1138.2,1117.1,1124.0,0.72,893,1004665.1
2026-02-10,1141.9,1141.9,1115.0,1116.0,-2.27,4250,4771479.2
2026-02-09,1153.1,1154.0,1105.0,1141.9,-2.15,4432,5039237.0
2026-02-08,1174.0,1180.0,1166.0,1167.0,-0.6,726,847949.6
2026-02-05,1164.0,1187.2,1161.0,1174.0,0.86,1802,2113940.1
2026-02-04,1186.0,1187.0,1164.0,1164.0,-0.09,782,912736.8
2026-02-03,1190.0,1193.5,1155.3,1165.0,-2.39,394,461902.0
2026-02-02,1155.1,1193.5,1151.0,1193.5,2.0,3009,3510305.1
2026-02-01,1185.2,1185.2,1166.4,1170.1,-1.27,990,1166850.3
2026-01-29,1185.0,1193.0,1176.1,1185.2,0.02,1660,1968423.2
2026-01-28,1180.0,1227.0,1172.0,1185.0,0.42,4304,5137205.7
2026-01-27,1196.0,1197.0,1170.0,1180.0,-1.42,5630,6639339.0
2026-01-26,1224.0,1224.0,1190.0,1197.0,-0.65,2632,3147828.5
2026-01-25,1180.0,1219.0,1180.0,1204.8,2.1,3824,4579214.5
2026-01-22,1160.1,1180.0,1160.1,1180.0,0.08,4296,5002406.9
2026-01-21,1205.0,1205.0,1161.5,1179.0,-0.34,974,1135295.9
2026-01-20,1193.4,1198.9,1173.0,1183.0,1.11,2701,3201524.5
2026-01-18,1165.0,1183.5,1164.0,1170.0,0.6,2920,3404465.5
2026-01-14,1151.0,1163.0,1151.0,1163.0,1.04,878,1016541.3
2026-01-13,1140.0,1167.9,1140.0,1151.0,0.52,2249,2580842.2
2026-01-12,1150.0,1167.0,1145.0,1145.0,-0.43,3428,3936855.1
2026-01-08,1135.3,1157.0,1135.2,1150.0,-0.69,1679,1921889.3
2026-01-07,1164.0,1177.0,1140.0,1158.0,-0.51,2184,2505715.0
2026-01-06,1139.0,1173.0,1139.0,1163.9,1.21,2511,2915390.0
2026-01-05,1145.0,1159.0,1128.0,1150.0,0.45,1378,1578533.0
2026-01-04,1117.3,1147.5,1117.0,1144.9,2.5,1515,1716816.3
2026-01-01,1182.0,1182.0,1160.1,1170.0,-0.85,3982,4646681.7
2025-12-31,1175.0,1186.9,1175.0,1180.0,-0.67,1726,2039094.5
2025-12-29,1190.0,1193.0,1185.0,1188.0,-0.17,1189,1413172.4
2025-12-28,1160.0,1190.0,1160.0,1190.0,2.66,2909,3436302.8
2025-12-24,1160.0,1179.0,1159.0,1159.2,-0.92,4055,4705942.9
2025-12-23,1170.0,1170.0,1162.0,1170.0,-0.85,1948,2270965.0
2025-12-22,1199.0,1200.0,1162.0,1180.0,-0.67,3647,4274415.0
2025-12-21,1235.0,1235.0,1166.3,1187.9,-5.72,17200,20443620.1
2025-12-18,1265.0,1265.0,1245.3,1260.0,-0.1,2550,3202049.8
2025-12-17,1265.0,1268.9,1257.0,1261.2,0.1,1828,2314616.1
2025-12-16,1240.1,1274.3,1240.1,1260.0,-0.08,1747,2196567.3
2025-12-15,1290.0,1290.0,1246.0,1261.0,-0.55,5159,6634126.0
2025-12-14,1285.0,1285.0,1251.0,1268.0,-0.16,3741,4696459.7
2025-12-11,1272.9,1275.0,1247.6,1270.0,-0.23,3031,3830054.0
2025-12-10,1281.0,1281.0,1253.0,1272.9,1.35,3789,4762480.0
2025-12-09,1283.0,1298.9,1256.0,1256.0,-0.32,2158,2771203.1
2025-12-08,1304.0,1304.0,1255.0,1260.0,-1.56,4035,5100607.0
2025-12-07,1260.3,1280.0,1255.0,1280.0,0.71,1519,1920844.0
2025-12-03,1290.0,1298.0,1270.4,1271.0,-1.28,4396,5642698.5
