fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2078/2079,6.5,0.34,6.84,2023-02-03 [Closed]
2077/2078,10.00,0.5263,10.5263,2022-01-06 [Closed]
2076/2077,8.00,3.4,11.4,2021-01-05 [Closed]
2075/2076,0.00,6.5,6.5,2020-01-07 [Closed]
2074/2075,0.00,5.26,5.26,2018-10-26 [Closed]
2073/2074,15.8,,15.8,2018-01-03 [Closed]
2072/2073,12.00,0.63,12.63,2016-12-22 [Closed]
2071/2072,15.00,0.79,15.79,2015-12-29 [Closed]
2070/2071,23.75,1.25,25.00,2014-12-21 [Closed]
2069/2070,15.00,2.00,17.00,2013-12-12 [Closed]
2068/2069,15.00,0.79,15.79,2012-12-27 [Closed]
2067/2068,15.00,0.79,15.79,2011-12-29 [Closed]
