date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,915.1,930.0,914.0,917.0,0.65,16056,14768223.8
2026-02-11,937.5,938.0,910.0,911.1,-0.97,11646,10685272.8
2026-02-10,930.0,934.5,915.0,920.0,-1.29,12069,11149512.8
2026-02-09,955.0,958.8,927.2,932.0,-2.41,14652,13738855.6
2026-02-08,924.0,978.0,924.0,955.0,3.92,52848,50582626.4
2026-02-05,916.0,926.0,910.0,919.0,0.33,12647,11630788.9
2026-02-04,914.0,928.8,904.1,916.0,0.22,7373,6744689.3
2026-02-03,902.1,924.9,902.1,914.0,-0.65,9530,8694296.7
2026-02-02,915.0,932.5,910.0,920.0,0.55,7043,6435865.0
2026-02-01,925.0,930.0,915.0,915.0,-1.89,11222,10317517.5
2026-01-29,932.0,949.9,932.0,932.6,-1.0,16547,15533167.0
2026-01-28,935.0,950.1,930.0,942.0,0.21,15314,14394219.9
2026-01-27,990.0,990.0,933.0,940.0,-3.69,23931,22817024.3
2026-01-26,990.0,1008.0,962.0,976.0,-1.41,42501,41593295.2
2026-01-25,914.0,994.0,914.0,990.0,7.61,40903,38917782.4
2026-01-22,914.0,930.0,907.0,920.0,0.44,12579,11477048.3
2026-01-21,939.0,939.0,910.1,916.0,-1.29,15881,14609810.3
2026-01-20,900.0,928.2,897.0,928.0,3.57,29411,26988555.4
2026-01-18,890.0,899.8,889.1,896.0,1.36,7992,7148416.2
2026-01-14,881.5,890.0,878.0,884.0,0.78,10963,9694419.7
2026-01-13,884.0,893.0,875.5,877.2,-0.77,11694,10297191.1
2026-01-12,883.0,895.0,880.0,884.0,-0.79,13643,12046600.8
2026-01-08,890.0,900.0,885.0,891.0,-0.46,7483,6675799.8
2026-01-07,905.0,910.0,895.1,895.1,-1.09,5148,4632261.1
2026-01-06,915.0,927.1,900.0,905.0,-0.44,11367,10350841.6
2026-01-05,876.0,909.0,876.0,909.0,3.41,18990,16997990.3
2026-01-04,898.0,898.0,876.0,879.0,-0.9,10512,9252400.1
2026-01-01,904.0,904.0,880.0,887.0,-0.11,15079,13364650.9
2025-12-31,900.0,910.0,888.0,888.0,-1.33,17405,15560610.5
2025-12-29,914.9,914.9,892.1,900.0,-0.33,11075,9960289.0
2025-12-28,898.0,903.0,890.0,903.0,1.82,9968,8913191.1
2025-12-24,890.0,896.0,885.1,886.9,-0.24,5197,4608359.2
2025-12-23,890.0,900.0,883.0,889.0,-0.11,7667,6826202.5
2025-12-22,892.0,900.9,888.0,890.0,-0.67,5478,4881841.2
2025-12-21,909.0,909.0,890.0,896.0,-0.67,9962,8945801.7
2025-12-18,909.0,915.0,901.0,902.0,-1.64,8375,7581419.4
2025-12-17,896.0,918.8,896.0,917.0,0.31,5911,5401039.6
2025-12-16,920.0,920.0,901.1,914.2,0.91,3446,3126067.3
2025-12-15,905.0,908.0,900.0,906.0,0.33,4449,4016875.3
2025-12-14,906.0,906.0,900.0,903.0,-0.22,5597,5046600.8
2025-12-11,909.0,914.0,905.0,905.0,-0.76,3119,2827524.4
2025-12-10,905.0,912.0,905.0,911.9,0.33,4727,4293493.7
2025-12-09,910.0,919.0,902.1,908.9,-0.12,5465,4963682.8
2025-12-08,915.0,919.0,910.0,910.0,-0.55,5012,4577450.6
2025-12-07,911.0,920.0,908.0,915.0,0.05,6473,5916779.0
2025-12-03,915.3,929.0,912.0,914.5,-0.44,8834,8097630.8
2025-12-02,924.0,924.0,912.1,918.5,-0.6,5326,4880558.9
2025-12-01,921.5,927.0,911.1,924.0,-0.22,8069,7426119.8
2025-11-30,928.0,939.9,925.0,926.0,-0.22,6258,5824282.9
2025-11-27,933.0,936.0,925.0,928.0,-0.54,7734,7189509.6
2025-11-26,921.0,935.0,921.0,933.0,0.64,4784,4450535.6
2025-11-25,938.8,948.0,925.8,927.1,-1.25,7621,7110848.9
2025-11-24,930.0,940.0,926.4,938.8,1.51,7906,7380328.3
2025-11-23,924.5,927.0,910.1,924.8,1.75,7338,6760751.7
2025-11-20,902.5,911.0,900.0,908.9,-0.01,2611,2365369.5
2025-11-19,920.0,920.0,905.0,909.0,-1.2,3702,3365962.7
2025-11-18,901.2,925.0,901.1,920.0,1.13,8547,7819995.3
2025-11-17,910.0,915.0,901.0,909.7,-0.03,8967,8141640.9
2025-11-16,919.0,919.0,908.0,910.0,-0.98,4851,4413771.6
2025-11-13,920.0,923.0,910.0,919.0,-0.1,4865,4454795.1
2025-11-12,926.0,927.0,906.5,919.9,-0.55,8593,7857459.9
2025-11-11,928.0,928.0,912.0,925.0,-0.32,2463,2255787.6
2025-11-10,915.2,939.5,915.0,928.0,-0.55,7116,6560716.3
2025-11-09,932.0,936.0,930.0,933.1,-1.26,5044,4703411.9
2025-11-06,954.9,959.9,941.3,945.0,-1.04,6847,6496349.1
2025-11-05,945.0,954.9,940.0,954.9,0.06,5615,5306909.4
2025-11-04,975.0,975.0,941.0,954.3,-0.9,10098,9581160.1
2025-11-03,965.0,982.9,960.0,963.0,-1.13,9990,9661682.2
2025-11-02,960.0,974.0,946.0,974.0,2.42,8049,7758463.3
2025-10-30,912.0,960.0,912.0,951.0,2.26,7518,7017096.5
2025-10-29,950.0,955.0,915.0,930.0,-1.38,12569,11852560.5
2025-10-28,905.0,950.0,905.0,943.0,4.31,10207,9414219.9
2025-10-26,910.0,910.0,890.0,904.0,-1.19,8277,7406370.9
2025-10-19,925.0,925.0,906.0,914.9,-0.55,5866,5341001.3
2025-10-16,908.0,940.0,908.0,920.0,-0.43,5901,5386233.6
2025-10-15,930.0,940.0,920.1,924.0,-1.7,4256,3949258.3
2025-10-14,970.0,970.0,928.0,940.0,-1.78,4479,4208595.3
2025-10-13,939.0,960.0,921.0,957.0,1.86,8041,7611928.1
2025-10-12,970.0,980.0,920.0,939.5,-3.94,13271,12471907.4
2025-10-09,973.6,1050.0,973.6,978.0,2.41,12739,12644875.5
2025-10-08,970.0,972.0,930.0,955.0,-2.85,15829,14911414.9
2025-10-07,1005.0,1005.0,979.0,983.0,-1.8,3665,3608479.3
2025-09-28,1020.0,1020.0,980.0,1001.0,0.1,6570,6565732.4
2025-09-25,990.0,1005.0,985.1,1000.0,1.01,2986,2954311.0
2025-09-24,1020.0,1020.0,985.1,990.0,-2.94,9064,9043453.5
2025-09-23,1004.0,1029.0,990.1,1020.0,1.67,8041,8150368.6
2025-09-21,902.0,1011.0,884.0,1003.27,9.05,22076,21294228.8
2025-09-18,981.2,981.2,920.0,920.0,-8.11,511,485419.0
2025-09-08,1058.9,1058.9,997.1,1001.19,-3.63,12715,12847572.0
2025-09-07,1070.0,1070.0,1034.0,1038.9,-1.94,10513,10982868.9
2025-09-04,1062.0,1083.1,1053.6,1059.41,-1.12,10363,10970819.4
2025-09-03,1090.0,1090.0,1070.0,1071.42,-1.85,5647,6081308.5
2025-09-02,1107.0,1115.0,1090.1,1091.66,-1.57,7546,8278060.6
2025-09-01,1144.0,1148.0,1105.0,1109.1,-1.85,9519,10627427.0
2025-08-31,1140.0,1162.8,1125.0,1129.99,0.52,36340,41552639.5
