fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2078/2079,8.00,11.11,19.11,2023-01-02 [Closed]
2077/2078,21.38,4.62,26.00,2021-12-26 [Closed]
2076/2077,14.00,6.00,20.00,2020-12-29 [Closed]
2075/2076,10.00,12.00,22.00,2020-01-27 [Closed]
2074/2075,5.00,10.78,15.78,2018-12-31 [Closed]
2073/2074,25.00,1.3158,26.3158,2017-12-26 [Closed]
2072/2073,30.00,1.57,31.57,2016-12-21 [Closed]
2071/2072,35.00,7.1,42.1,2015-12-04 [Closed]
2070/2071,15.00,6.05,21.05,2014-11-26 [Closed]
2069/2070,5.00,10.00,15.00,2014-03-06 [Closed]
2068/2069,15.00,13.4211,28.4211,2012-12-13 [Closed]
2067/2068,20.00,16.8421,36.8421,2011-12-08 [Closed]
