fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,20.00,5.00,25.00,2025-11-06 [Closed]
2080/2081,15.00,5.00,20.00,2025-01-03 [Closed]
2079/2080,10.00,15.00,25.00,2023-12-29 [Closed]
2078/2079,60.00,10.00,70.00,2023-01-04 [Closed]
2077/2078,75.00,25.00,100.00,2021-12-31 [Closed]
2076/2077,50.00,50.00,100.00,2021-01-01 [Closed]
2075/2076,50.00,52.63,102.63,2019-12-01 [Closed]
2074/2075,0.00,21.05,21.05,2018-12-19 [Closed]
2074/2075,0.00,68.42,68.42,2019-05-31 [Closed]
2073/2074,0.00,21.05,21.05,2017-12-01 [Closed]
2072/2073,0.00,20.00,20.00,2016-11-17 [Closed]
2071/2072,0.00,20.00,20.00,2015-11-17 [Closed]
2070/2071,0.00,10.52,10.52,2014-11-10 [Closed]
