fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,15.7895,15.7895,2025-12-05 [Closed]
2080/2081,0.00,5.2632,5.2632,2025-01-01 [Closed]
2079/2080,,6.5,6.5,2023-12-29 [Closed]
2078/2079,5.00,5.00,10.00,2023-01-03 [Closed]
2077/2078,10.00,4.00,14.00,2021-12-09 [Closed]
2076/2077,10.5,4.5,15.00,2021-01-03 [Closed]
2075/2076,5.00,8.00,13.00,2019-12-31 [Closed]
2074/2075,0.00,8.00,8.00,2018-09-12 [Closed]
2073/2074,10.00,11.05,21.05,2017-10-11 [Closed]
2072/2073,17.00,0.89,17.89,2016-09-29 [Closed]
2071/2072,10.5,0.55,11.05,2016-03-28 [Closed]
2070/2071,14.00,0.74,14.74,2014-11-16 [Closed]
2069/2070,5.00,10.79,15.79,2013-09-25 [Closed]
2068/2069,0.00,8.42,8.42,2012-12-10 [Closed]
2067/2068,8.00,7.00,15.00,2011-12-28 [Closed]
