fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2078/2079,3.00,3.8,6.8,2023-02-12 [Closed]
2077/2078,11.00,4.5,15.5,2021-12-24 [Closed]
2076/2077,10.00,0.00,10.00,2021-01-13 [Closed]
2075/2076,12.75,0.00,12.75,2020-01-01 [Closed]
2074/2075,0.00,8.4,8.4,2018-10-15 [Closed]
2073/2074,10.00,,10.00,2017-12-31 [Closed]
2072/2073,11.7,,11.7,2016-12-29 [Closed]
2071/2072,9.00,,9.00,2015-10-19 [Closed]
2070/2071,7.00,,7.00,2015-04-12 [Closed]
2069/2070,7.00,5.6,12.6,2014-07-02 [Closed]
2067/2068,0.00,8.5,8.5,2011-12-08 [Closed]
