fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2078/2079,0.00,12.5,12.5,2022-10-31 [Closed]
2077/2078,6.00,2.67,8.67,2021-10-25 [Closed]
2076/2077,10.85,3.15,14.00,2020-11-30 [Closed]
2075/2076,10.00,0.52,10.52,2019-09-15 [Closed]
2074/2075,8.5,0.00,8.5,2019-04-19 [Closed]
2073/2074,12.75,0.00,12.75,2019-04-19 [Closed]
2072/2073,21.00,1.1,21.00,2017-03-03 [Closed]
2071/2072,11.00,0.58,11.58,2016-01-14 [Closed]
2070/2071,33.00,1.74,34.74,2014-10-22 [Closed]
2069/2070,14.00,,14.00,2014-04-09 [Closed]
2068/2069,0.00,7.00,7.00,2013-01-24 [Closed]
2067/2068,8.00,0.44,8.44,2012-01-16 [Closed]
