date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,961.0,980.0,961.0,970.0,0.94,1653,1602495.3
2026-02-11,961.0,970.0,961.0,961.0,-0.93,601,579524.3
2026-02-10,975.0,975.0,961.0,970.0,-0.02,1520,1475618.7
2026-02-09,980.0,990.0,957.0,970.2,-2.3,6504,6271719.9
2026-02-08,998.0,1005.0,990.1,993.0,-0.7,1950,1947551.7
2026-02-05,980.1,1010.0,980.1,1000.0,0.26,2644,2650719.4
2026-02-04,975.0,997.4,970.1,997.4,1.99,1736,1711378.4
2026-02-03,978.0,980.0,970.0,977.9,-0.01,1123,1093469.0
2026-02-02,976.0,978.0,970.2,978.0,0.46,1341,1306644.0
2026-02-01,975.0,990.0,971.0,973.5,-1.18,1505,1469861.4
2026-01-29,999.0,999.0,983.0,985.1,-1.19,1384,1365868.5
2026-01-28,985.1,997.0,985.0,997.0,-0.1,2238,2217839.0
2026-01-27,1015.0,1015.0,990.0,998.0,-1.67,1773,1772761.3
2026-01-26,1015.0,1028.0,1002.6,1015.0,0.0,1856,1881411.7
2026-01-25,976.0,1015.0,976.0,1015.0,2.01,4893,4928877.9
2026-01-22,993.0,996.0,973.5,995.0,0.2,971,958337.8
2026-01-21,981.0,993.0,974.0,993.0,1.32,1113,1091397.9
2026-01-20,975.1,994.0,974.5,980.1,0.51,1876,1846244.4
2026-01-18,963.6,994.0,963.6,975.1,0.01,679,663819.0
2026-01-14,980.0,980.0,965.1,975.0,-0.51,295,285796.9
2026-01-13,970.5,999.0,970.2,980.0,-0.51,791,769491.1
2026-01-12,1000.0,1000.0,980.0,985.0,-1.4,468,461790.0
2026-01-08,981.0,1000.0,981.0,999.0,-0.1,1307,1285586.9
2026-01-07,1031.0,1031.0,990.8,1000.0,-1.09,570,568548.2
2026-01-06,1010.0,1011.0,1000.0,1011.0,0.1,2550,2568657.0
2026-01-05,981.1,1010.0,976.1,1010.0,1.51,2527,2510579.8
2026-01-04,1024.0,1024.0,994.0,995.0,-1.29,1252,1250524.6
2026-01-01,1000.1,1015.0,1000.0,1008.0,-0.3,2314,2329202.9
2025-12-31,987.0,1011.0,987.0,1011.0,0.61,4484,4504478.4
2025-12-29,1015.0,1015.0,990.0,1004.9,0.1,1362,1353999.4
2025-12-28,980.0,1004.7,980.0,1003.9,1.61,2364,2350154.8
2025-12-24,962.0,990.0,962.0,988.0,0.83,1313,1287287.1
2025-12-23,960.7,979.9,960.5,979.9,0.07,678,658571.6
2025-12-22,960.6,979.2,960.0,979.2,0.02,610,587194.6
2025-12-21,980.0,997.8,961.1,979.0,-1.61,1834,1795108.3
2025-12-18,999.0,1012.0,990.4,995.0,0.2,3543,3528253.6
2025-12-17,986.2,996.0,986.2,993.0,0.81,2532,2508091.6
2025-12-16,970.5,989.0,970.5,985.0,1.55,989,973923.0
2025-12-15,964.0,974.0,964.0,970.0,0.71,1247,1208339.9
2025-12-14,952.0,971.0,952.0,963.2,1.51,5508,5323042.9
2025-12-11,969.0,969.0,945.0,948.9,-0.33,543,514886.1
2025-12-10,950.0,952.0,943.0,952.0,-0.83,2345,2217600.4
2025-12-09,951.0,960.0,947.0,960.0,0.0,909,864731.7
2025-12-08,940.0,960.0,940.0,960.0,0.84,1097,1048461.1
2025-12-07,940.0,958.0,940.0,952.0,-0.31,1393,1320355.2
2025-12-03,955.0,968.0,955.0,955.0,0.19,994,956422.4
2025-12-02,950.8,967.0,950.4,953.2,-0.51,387,370027.4
2025-12-01,955.0,970.0,954.0,958.1,0.64,1989,1924035.8
2025-11-30,952.0,970.8,952.0,952.0,0.02,3351,3212927.6
2025-11-27,962.0,980.0,951.8,951.8,-2.88,860,830180.1
2025-11-26,948.0,988.3,948.0,980.0,1.33,822,802563.6
2025-11-25,947.0,985.2,947.0,967.1,0.1,862,833055.0
2025-11-24,979.5,979.5,959.5,966.1,-0.3,2052,1972211.9
2025-11-23,960.0,979.2,950.0,969.0,2.87,1050,1011183.5
2025-11-20,930.1,949.0,930.1,942.0,0.18,274,257998.1
2025-11-19,953.0,960.0,940.3,940.3,-2.37,978,926935.1
2025-11-18,946.0,970.0,946.0,963.1,-0.2,733,705525.7
2025-11-17,950.0,965.0,935.1,965.0,1.33,463,443689.0
2025-11-16,955.0,969.9,951.1,952.3,-1.82,694,662411.9
2025-11-13,975.0,975.0,970.0,970.0,-1.55,303,293986.6
2025-11-12,980.0,998.9,965.5,985.3,1.79,697,687445.3
2025-11-11,960.1,975.0,960.0,968.0,-0.72,377,364641.9
2025-11-10,1000.9,1001.0,975.0,975.0,-1.12,517,512387.1
2025-11-09,966.5,986.0,966.5,986.0,0.16,366,356322.6
2025-11-06,965.1,984.4,965.0,984.4,0.05,866,839261.3
2025-11-05,965.0,984.0,963.0,983.9,0.38,218,211976.9
2025-11-04,981.1,987.1,980.2,980.2,-1.98,963,948890.9
2025-11-03,1000.0,1020.0,996.0,1000.0,-1.19,596,600170.0
2025-11-02,1016.9,1027.0,1012.0,1012.0,1.3,1441,1467362.4
2025-10-30,980.0,1007.0,961.0,999.0,0.4,1089,1073147.6
2025-10-29,994.5,1000.0,979.1,995.0,2.05,2151,2119629.6
2025-10-28,972.0,1003.8,970.0,975.0,-0.94,698,687844.0
2025-10-26,965.0,984.3,950.0,984.3,2.0,791,758701.9
2025-10-19,956.1,975.2,956.1,965.0,-1.03,483,467853.6
2025-10-16,990.0,1003.0,975.0,975.0,-1.52,865,849008.3
2025-10-15,976.9,1018.5,976.9,990.0,3.13,782,774698.4
2025-10-14,972.5,989.0,954.0,960.0,0.68,401,389546.0
2025-10-13,965.0,969.0,950.0,953.5,0.37,803,766024.6
2025-10-12,961.0,969.0,950.0,950.0,-3.06,1779,1702481.5
2025-10-09,994.3,1018.0,980.0,980.0,0.52,591,588954.6
2025-10-08,1015.0,1015.0,967.0,974.9,-2.97,1279,1248013.0
2025-10-07,985.0,1004.7,980.0,1004.7,-0.03,791,782257.5
2025-09-28,1015.9,1015.9,996.0,1005.0,0.9,690,693155.5
2025-09-25,995.1,1009.0,995.1,996.0,-1.78,764,764327.2
2025-09-24,975.0,1024.4,975.0,1014.0,2.94,1191,1200601.5
2025-09-23,1003.0,1018.9,985.0,985.0,0.12,2031,2026168.9
2025-09-21,971.0,1005.0,960.0,983.8,1.32,2361,2314382.7
2025-09-18,977.0,990.0,970.2,971.0,-2.54,603,586212.2
2025-09-08,996.0,1000.0,996.0,996.32,-0.57,1100,1096239.2
2025-09-07,1000.0,1014.0,998.0,1002.0,0.03,410,411436.0
2025-09-04,1022.0,1022.0,990.0,1001.7,-0.07,950,947783.5
2025-09-03,1006.0,1025.0,990.0,1002.36,-1.8,8409,8405099.4
2025-09-02,1028.2,1045.0,1015.0,1020.76,-0.61,2513,2580718.4
2025-09-01,1030.0,1045.0,1027.0,1027.0,-1.4,721,744010.4
2025-08-31,1109.0,1109.0,1010.0,1041.6,-4.23,4025,4253740.8
2025-08-28,1098.0,1105.0,1085.0,1087.61,-1.21,1987,2164129.0
2025-08-27,1075.0,1109.0,1075.0,1100.96,0.96,2654,2919490.3
2025-08-26,1101.0,1105.0,1085.0,1090.49,-1.11,2570,2816606.0
2025-08-25,1132.0,1140.0,1100.0,1102.74,-0.67,2746,3047918.1
2025-08-24,1115.6,1180.0,1106.0,1110.2,-2.47,3778,4232155.2
2025-08-21,1136.0,1179.8,1128.1,1138.31,0.29,1685,1920488.9
2025-08-20,1148.0,1150.0,1130.0,1135.03,-0.86,3273,3716532.1
2025-08-19,1135.1,1150.0,1135.1,1144.92,0.38,1351,1546769.7
2025-08-18,1138.0,1150.0,1130.5,1140.64,-0.54,1921,2184321.4
2025-08-17,1164.0,1184.9,1136.0,1146.83,-2.05,6847,7858632.2
2025-08-14,1160.0,1185.0,1160.0,1170.84,0.14,1536,1794922.1
2025-08-13,1165.4,1203.5,1155.0,1169.21,-0.16,1033,1215280.8
2025-08-12,1166.1,1199.0,1166.1,1171.03,-1.06,2930,3447779.0
2025-08-11,1183.0,1202.9,1175.1,1183.57,-1.76,1761,2094520.9
2025-08-07,1218.9,1221.1,1188.0,1204.83,0.64,2106,2541562.8
2025-08-06,1172.0,1205.0,1172.0,1197.22,0.3,4718,5611400.5
2025-08-05,1204.0,1220.0,1189.1,1193.64,-0.91,6179,7384350.5
2025-08-04,1200.0,1209.0,1190.0,1204.61,0.96,2372,2841317.9
2025-08-03,1215.0,1215.0,1193.0,1193.11,-1.96,2153,2573537.1
2025-07-31,1220.0,1225.0,1205.8,1216.97,-0.01,1701,2065123.1
2025-07-30,1279.9,1279.9,1212.9,1217.05,-3.22,7971,9877410.7
2025-07-29,1235.0,1270.0,1235.0,1257.59,1.82,3407,4281181.0
2025-07-28,1257.9,1257.9,1216.0,1235.14,-0.02,3655,4493555.6
2025-07-27,1240.0,1265.0,1230.1,1235.44,-0.03,6027,7513631.4
2025-07-24,1230.0,1274.9,1221.0,1235.78,-0.48,4767,5914635.1
2025-07-23,1278.5,1278.5,1217.0,1241.69,-1.16,4611,5687116.4
2025-07-22,1250.0,1290.0,1246.0,1256.28,2.01,5297,6697012.9
2025-07-21,1244.5,1294.6,1225.2,1231.51,-3.02,3038,3756536.9
2025-07-20,1224.3,1347.0,1224.3,1269.87,1.66,9001,11481205.1
2025-07-17,1180.8,1254.0,1180.8,1249.19,3.68,6717,8215917.7
2025-07-16,1192.0,1212.8,1169.5,1204.85,3.07,7324,8753054.9
2025-07-15,1164.0,1179.0,1160.0,1169.0,0.34,262,307540.5
2025-07-14,1160.0,1175.0,1160.0,1165.0,-1.18,890,1037009.8
2025-07-13,1186.6,1234.0,1170.0,1178.91,1.33,2760,3265326.7
2025-07-10,1170.0,1170.0,1150.0,1163.42,1.2,1739,2009236.8
2025-07-09,1136.9,1160.0,1136.9,1149.67,0.67,1091,1251931.8
2025-07-08,1163.0,1167.7,1140.0,1141.98,-0.25,2958,3401289.4
2025-07-07,1137.0,1205.6,1137.0,1144.88,-1.03,2189,2507519.0
2025-07-06,1157.0,1196.5,1150.0,1156.83,-1.96,2046,2374703.9
2025-07-03,1198.0,1198.0,1175.0,1179.9,-1.02,906,1070285.0
2025-07-02,1160.0,1198.9,1160.0,1192.07,1.94,3699,4384215.4
2025-07-01,1161.0,1179.0,1142.0,1169.39,0.78,2186,2553714.2
2025-06-30,1147.1,1185.0,1135.1,1160.3,0.38,1218,1398079.0
2025-06-29,1126.2,1160.0,1126.2,1155.95,1.01,1339,1526082.2
2025-06-26,1150.0,1150.0,1125.0,1144.41,1.22,1641,1862732.7
2025-06-25,1150.0,1157.0,1130.0,1130.59,-1.6,2257,2567958.3
2025-06-24,1141.0,1150.1,1141.0,1149.01,-0.99,717,823228.3
2025-06-23,1150.0,1170.0,1138.0,1160.55,0.92,603,692139.1
2025-06-22,1150.0,1166.9,1144.1,1150.0,-0.73,940,1082151.6
2025-06-19,1185.0,1185.0,1152.0,1158.45,-0.34,1133,1313506.4
2025-06-18,1156.1,1202.0,1156.1,1162.41,-1.42,1248,1459415.9
2025-06-17,1176.0,1203.6,1170.0,1179.15,-1.68,1134,1341539.1
2025-06-16,1170.0,1207.0,1161.1,1199.3,0.94,1862,2216422.5
2025-06-15,1145.0,1192.5,1145.0,1188.12,1.98,1117,1314632.7
2025-06-12,1152.2,1185.0,1152.2,1165.0,-0.83,2427,2862278.8
2025-06-11,1177.6,1203.6,1140.0,1174.76,-2.2,3819,4449002.8
2025-06-10,1177.0,1227.0,1165.0,1201.18,2.19,7531,8985461.1
2025-06-09,1160.0,1200.0,1150.0,1175.49,1.76,3645,4258161.2
2025-06-08,1165.0,1166.1,1155.0,1155.12,-1.48,1118,1296287.9
2025-06-05,1210.0,1234.0,1163.9,1172.46,-1.2,2552,2999329.6
2025-06-04,1244.8,1244.8,1178.0,1186.76,-2.76,1392,1662502.7
2025-06-03,1201.5,1224.0,1178.0,1220.45,1.58,601,718218.6
2025-06-02,1234.5,1284.2,1191.0,1201.5,-0.73,733,885892.2
2025-05-28,1197.0,1237.0,1192.0,1210.36,-0.2,2082,2519180.0
2025-05-27,1200.0,1215.0,1197.0,1212.79,0.06,876,1059590.9
2025-05-26,1240.0,1264.0,1200.2,1212.03,-0.54,3053,3774027.6
2025-05-25,1175.9,1244.0,1175.9,1218.56,1.56,3559,4353908.9
2025-05-22,1175.0,1233.9,1175.0,1199.89,1.03,2123,2540124.4
2025-05-21,1267.0,1267.0,1180.0,1187.68,-6.2,8107,9776973.1
2025-05-20,1151.0,1285.0,1151.0,1266.22,7.83,3531,4200049.7
2025-05-19,1168.0,1209.0,1168.0,1174.3,-1.46,1029,1222872.7
2025-05-18,1174.9,1197.9,1155.0,1191.66,2.93,1590,1873915.0
2025-05-15,1169.0,1181.0,1152.0,1157.79,-1.8,607,705526.0
2025-05-14,1202.5,1226.0,1156.0,1179.0,0.0,1765,2055615.1
2025-05-13,1215.5,1215.5,1166.5,1179.0,-1.07,988,1164722.1
