fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,4.00,4.00,8.00,2025-09-12 [Closed]
2079/2080,13.3,0.7,14.00,2023-09-25 [Closed]
2077/2078,13.3,0.7,14.00,2021-10-24 [Closed]
2076/2077,7.03,3.37,10.4,2020-10-08 [Closed]
2075/2076,5.00,11.00,16.00,2019-09-27 [Closed]
2074/2075,0.00,10.00,10.00,2018-12-21 [Closed]
2073/2074,9.00,6.00,15.00,2017-11-17 [Closed]
2072/2073,20.75,1.09,21.84,2016-12-16 [Closed]
2071/2072,16.00,0.84,16.84,2016-04-19 [Closed]
2070/2071,12.00,0.63,12.63,2014-11-19 [Closed]
