date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,228.0,230.2,227.0,229.0,0.84,50319,11543143.1
2026-02-11,229.8,230.4,225.0,227.1,0.53,73303,16705923.0
2026-02-10,225.0,227.0,223.5,225.9,0.4,32512,7305183.7
2026-02-09,228.0,230.0,225.0,225.0,-2.17,47111,10663474.3
2026-02-08,230.9,233.7,228.0,230.0,1.32,77346,17825492.3
2026-02-05,224.5,227.5,223.0,227.0,1.25,63584,14276841.4
2026-02-04,222.4,228.5,222.4,224.2,-1.19,55759,12536443.6
2026-02-03,230.0,230.0,224.5,226.9,-0.92,65718,14845998.0
2026-02-02,230.0,231.0,228.0,229.0,0.44,24657,5647218.4
2026-02-01,230.0,233.0,227.0,228.0,-1.68,62831,14381644.9
2026-01-29,230.5,234.5,229.0,231.9,0.61,75300,17468986.4
2026-01-28,230.0,233.6,228.0,230.5,-0.43,48357,11154920.1
2026-01-27,235.2,239.9,230.5,231.5,-2.32,69963,16316081.2
2026-01-26,246.8,246.8,236.1,237.0,-2.07,105883,25207845.8
2026-01-25,231.9,242.3,230.5,242.0,5.22,348710,81655788.2
2026-01-22,234.6,234.6,226.4,230.0,0.0,38213,8749232.4
2026-01-21,235.0,235.0,227.0,230.0,-0.43,80526,18506179.7
2026-01-20,232.9,235.0,229.0,231.0,0.87,65083,15076243.7
2026-01-18,228.8,229.0,224.5,229.0,0.53,88932,20151451.4
2026-01-14,232.0,232.0,225.0,227.8,-0.09,37204,8425195.3
2026-01-13,227.0,229.0,225.0,228.0,0.13,24103,5475351.1
2026-01-12,229.3,229.3,223.2,227.7,1.24,74470,16930631.0
2026-01-08,227.9,227.9,221.0,224.9,0.58,36812,8240472.1
2026-01-07,222.5,226.0,222.5,223.6,-0.04,53545,12010343.5
2026-01-06,223.0,226.4,223.0,223.7,-0.8,63719,14330141.4
2026-01-05,220.1,229.5,218.0,225.5,1.58,52889,11792101.4
2026-01-04,222.0,224.9,218.3,222.0,0.0,30653,6782048.2
2026-01-01,229.2,229.2,215.7,222.0,-1.25,25537,5663465.4
2025-12-31,224.0,226.0,222.0,224.8,1.31,69659,15628871.0
2025-12-29,221.1,224.0,220.2,221.9,-0.89,48247,10722327.3
2025-12-28,220.0,224.0,218.3,223.9,1.77,62702,13869436.6
2025-12-24,216.0,220.0,214.8,220.0,2.56,51164,11103701.0
2025-12-23,214.3,215.9,214.0,214.5,-0.23,30314,6501122.5
2025-12-22,216.0,217.0,214.0,215.0,-0.56,28614,6150417.6
2025-12-21,216.0,217.7,215.2,216.2,-1.1,32206,6976111.5
2025-12-18,219.9,219.9,215.6,218.6,0.74,39801,8661299.5
2025-12-17,215.0,218.0,215.0,217.0,0.88,41001,8903073.0
2025-12-16,218.8,219.8,215.1,215.1,-1.33,31703,6886508.4
2025-12-15,211.6,218.0,211.6,218.0,0.97,58720,12729044.7
2025-12-14,217.0,217.0,212.7,215.9,0.42,64087,13731102.5
2025-12-11,213.7,217.0,213.7,215.0,0.0,27848,5996896.5
2025-12-10,215.0,217.0,214.0,215.0,0.19,21989,4718632.4
2025-12-09,218.0,218.0,214.2,214.6,-0.51,26879,5790172.1
2025-12-08,215.0,219.0,215.0,215.7,-1.06,60375,13105815.6
2025-12-07,217.0,218.0,215.1,218.0,-0.46,21567,4669634.3
2025-12-03,216.4,222.9,216.4,219.0,-0.82,62950,13859073.7
2025-12-02,218.1,220.9,218.1,220.8,0.18,28172,6197076.7
2025-12-01,213.7,222.2,213.7,220.4,1.1,40773,8931250.7
2025-11-30,221.1,225.0,218.0,218.0,-3.11,87998,19393588.7
2025-11-27,224.8,226.0,216.0,225.0,2.09,94398,21139804.1
2025-11-26,215.0,221.0,215.0,220.4,0.64,51219,11215969.2
2025-11-25,220.0,220.0,215.5,219.0,-0.36,37960,8260967.5
2025-11-24,217.9,219.9,214.0,219.8,1.76,39851,8663018.5
2025-11-23,210.0,216.0,209.0,216.0,3.35,44255,9382685.2
2025-11-20,209.0,210.5,208.5,209.0,-1.18,26114,5455760.4
2025-11-19,212.0,212.0,208.3,211.5,1.2,23280,4877315.0
2025-11-18,209.0,211.6,208.6,209.0,-0.14,12200,2559970.3
2025-11-17,211.4,211.4,208.7,209.3,-0.99,17522,3672833.1
2025-11-16,210.0,211.4,207.2,211.4,1.1,24218,5061905.4
2025-11-13,210.0,211.3,208.0,209.1,-0.52,9261,1937307.5
2025-11-12,209.0,211.0,207.5,210.2,0.57,22187,4642111.4
2025-11-11,210.0,210.0,208.4,209.0,-0.85,73583,15376420.6
2025-11-10,208.4,212.4,208.4,210.8,0.33,26768,5610633.2
2025-11-09,215.0,215.0,210.1,210.1,-2.28,41341,8733357.0
2025-11-06,214.7,218.0,214.7,215.0,-0.46,110546,23857758.6
2025-11-05,213.7,216.0,213.7,216.0,0.0,41370,8881947.8
2025-11-04,220.0,221.8,213.0,216.0,-1.59,93461,20195309.9
2025-11-03,213.2,220.0,213.2,219.5,1.15,46374,10100309.8
2025-11-02,217.2,219.9,213.0,217.0,1.88,22977,4993222.7
2025-10-30,211.2,215.0,211.0,213.0,0.95,51282,10929442.0
2025-10-29,214.0,218.0,210.7,211.0,-1.36,54234,11624367.6
2025-10-28,211.5,214.0,211.0,213.9,2.1,35182,7468901.9
2025-10-26,205.4,210.9,205.0,209.5,1.16,9781,2042814.9
2025-10-19,208.0,212.0,207.0,207.1,-1.1,57148,11874441.6
2025-10-16,213.0,213.0,208.0,209.4,-0.24,34843,7299830.1
2025-10-15,215.9,215.9,208.2,209.9,-0.99,45832,9611221.0
2025-10-14,215.6,215.6,211.0,212.0,0.28,16344,3464574.2
2025-10-13,215.7,215.7,208.8,211.4,-0.05,38000,8064754.4
2025-10-12,215.6,216.0,209.0,211.5,-3.86,93428,19847842.9
2025-10-09,222.3,230.0,217.0,220.0,0.92,70317,15536170.4
2025-10-08,216.0,219.9,214.0,218.0,-0.55,55779,12026878.2
2025-10-07,221.0,221.0,219.0,219.2,-1.26,44077,9670879.1
2025-09-28,225.0,225.0,219.6,222.0,-0.89,45197,10009145.8
2025-09-25,223.0,224.7,221.1,224.0,0.45,26621,5915539.0
2025-09-24,230.0,230.0,222.0,223.0,-2.19,53296,11971267.2
2025-09-23,233.0,233.0,226.0,228.0,-0.84,64552,14732715.3
2025-09-21,225.0,231.7,221.0,229.92,2.19,147003,33355968.1
2025-09-18,234.1,234.1,225.0,225.0,-5.79,405,92307.5
2025-09-08,251.9,251.9,247.0,248.37,-1.14,133141,33224872.1
2025-09-07,253.8,253.8,250.5,251.23,-0.04,68588,17219166.1
2025-09-04,250.0,252.5,248.5,251.34,0.12,112976,28278204.6
2025-09-03,252.1,253.0,250.0,251.04,0.01,77042,19367494.4
2025-09-02,255.7,255.7,249.8,251.01,0.11,142772,35875101.0
2025-09-01,253.6,253.6,247.0,250.73,0.84,84851,21239957.8
2025-08-31,250.0,251.3,247.4,248.64,-0.74,124581,31072251.2
2025-08-28,250.3,252.0,248.2,250.5,-0.67,49903,12490787.4
2025-08-27,251.5,253.9,247.0,252.18,2.25,72345,18213350.5
2025-08-26,248.9,249.0,246.0,246.64,-0.15,87273,21514202.4
2025-08-25,247.5,247.5,245.0,247.02,0.42,140596,34490373.5
2025-08-24,249.8,249.8,245.2,245.99,-0.53,59388,14619390.8
2025-08-21,249.75,250.9,244.8,247.29,-0.98,85594,21176153.2
2025-08-20,249.9,252.0,247.1,249.75,0.68,83233,20813391.2
2025-08-19,248.0,252.5,245.9,248.07,-1.04,71549,17791593.7
2025-08-18,251.0,256.0,244.2,250.67,0.72,84241,21148147.3
2025-08-17,254.0,254.0,245.3,248.87,-1.15,99806,24908011.3
2025-08-14,247.1,254.0,247.1,251.77,0.33,93276,23470656.5
2025-08-13,256.8,256.8,250.0,250.95,-0.89,56992,14385794.7
2025-08-12,260.9,260.9,253.0,253.21,-1.04,74236,18867254.3
2025-08-11,261.0,263.9,255.3,255.86,-0.68,136733,35370878.5
2025-08-07,256.7,260.0,256.1,257.62,-0.19,131185,33802682.9
2025-08-06,262.7,262.7,257.3,258.1,-0.83,172099,44751470.1
2025-08-05,262.3,272.0,259.8,260.27,1.17,591770,155195226.7
2025-08-04,248.0,260.0,248.0,257.26,4.21,367800,93830400.1
2025-08-03,255.0,255.0,246.3,246.86,-3.52,159266,39892955.8
2025-07-31,258.5,260.0,255.0,255.87,-1.65,357154,92254277.7
2025-07-30,268.0,269.0,260.0,260.17,-1.95,226286,59532183.8
2025-07-29,264.0,272.1,262.1,265.35,1.0,384635,102926920.1
2025-07-28,257.0,264.0,255.9,262.72,0.82,171748,44674273.0
2025-07-27,261.2,267.5,258.5,260.59,-1.32,282448,74498190.4
2025-07-24,264.0,266.5,259.0,264.08,0.1,260652,68514444.9
2025-07-23,265.0,266.0,261.0,263.82,-0.52,234250,61715861.7
2025-07-22,258.5,267.9,258.5,265.21,2.59,473500,124278761.2
2025-07-21,255.0,261.0,253.1,258.52,0.28,246725,63481567.9
2025-07-20,264.5,266.0,255.0,257.81,-1.48,443718,115598806.8
2025-07-17,263.9,268.4,260.2,261.69,0.88,313401,82586159.1
2025-07-16,252.0,264.1,252.0,259.41,3.54,556934,145062588.3
2025-07-15,238.8,252.0,238.8,250.53,3.26,379758,93219198.2
2025-07-14,252.0,252.0,242.0,242.63,-2.78,299218,73072907.9
2025-07-13,245.7,260.0,245.0,249.57,3.58,468706,117152530.0
2025-07-10,233.8,244.8,233.4,240.94,3.51,371357,89470375.6
2025-07-09,230.0,233.0,226.6,232.76,2.85,110345,25479374.1
