date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1130.0,1130.0,1130.0,1130.0,0.0,10,11300.0
2026-02-09,1130.0,1130.0,1130.0,1130.0,0.61,74,83620.0
2026-02-05,1123.1,1123.1,1123.1,1123.1,-1.48,25,28077.5
2026-02-04,1139.0,1140.0,1139.0,1140.0,0.8,125,142475.0
2026-02-01,1131.0,1131.0,1131.0,1131.0,-1.65,25,28275.0
2026-01-22,1150.0,1150.0,1150.0,1150.0,0.0,5,5750.0
2026-01-20,1150.0,1150.0,1150.0,1150.0,0.0,15,17250.0
2026-01-18,1150.0,1150.0,1150.0,1150.0,-0.61,10,11500.0
2026-01-08,1157.1,1157.1,1157.0,1157.0,-1.95,100,115705.0
2026-01-06,1170.1,1180.0,1170.1,1180.0,1.31,151,177685.0
2026-01-05,1164.7,1164.7,1164.7,1164.7,-0.02,10,11647.0
2026-01-04,1164.9,1164.9,1164.9,1164.9,-1.7,25,29122.5
2025-12-31,1184.0,1185.0,1184.0,1185.0,1.28,130,153945.0
2025-12-29,1170.0,1170.0,1170.0,1170.0,-0.85,15,17550.0
2025-12-24,1180.0,1180.0,1180.0,1180.0,0.85,500,590000.0
2025-12-23,1170.0,1170.0,1170.0,1170.0,1.3,100,117000.0
2025-12-17,1170.0,1170.0,1155.0,1155.0,-1.28,105,121235.0
2025-12-07,1170.0,1170.0,1170.0,1170.0,-0.52,50,58500.0
2025-12-02,1176.1,1176.1,1176.1,1176.1,-1.99,50,58805.0
2025-11-27,1200.0,1200.0,1200.0,1200.0,-1.64,100,120000.0
2025-11-18,1220.0,1220.0,1220.0,1220.0,-1.85,95,115900.0
2025-11-17,1268.19,1268.19,1268.19,1243.0,-1.99,5,6215.0
2025-07-24,1294.0,1294.0,1294.0,1268.19,-1.99,2,2536.38
2025-07-16,1265.0,1273.18,1265.0,1294.0,1.69,110,139790.0
2025-07-03,1272.5,1272.5,1272.5,1272.5,1.94,10,12725.0
2025-07-01,1217.0,1273.9,1217.0,1248.31,2.57,47,58606.7
2025-06-30,1205.5,1205.5,1205.5,1217.0,0.95,7,8519.0
2025-06-29,1137.5,1205.5,1137.5,1205.5,8.1,106,122888.7
2025-06-04,1116.2,1116.2,1116.2,1115.2,-0.09,2,2230.4
2025-06-03,1116.5,1116.5,1116.5,1116.2,-0.03,2,2232.4
2025-05-28,1118.0,1118.0,1118.0,1116.5,-0.13,2,2233.0
2025-05-27,1118.0,1118.0,1118.0,1118.0,0.0,2,2236.0
2025-05-26,1130.0,1130.0,1130.0,1118.0,-1.06,3,3354.0
2025-05-15,1130.0,1130.0,1130.0,1130.0,0.36,25,28250.0
2025-05-06,1117.1,1117.1,1117.1,1125.9,0.39,31,34659.2
2025-04-30,1127.1,1127.1,1127.1,1121.5,-0.5,2,2243.0
2025-04-28,1127.1,1127.1,1127.1,1127.1,-1.99,50,56355.0
2025-04-16,1150.0,1150.0,1150.0,1150.0,-1.8,185,212750.0
2025-04-08,1195.0,1195.0,1195.0,1171.1,-2.0,3,3513.3
2025-03-20,1195.0,1195.0,1195.0,1195.0,1.27,15,17925.0
2024-12-31,1180.0,1180.0,1180.0,1180.0,0.85,118,139240.0
2024-11-14,1111.8,1170.0,1111.8,1170.0,7.34,10000,11698924.0
2024-10-29,1090.0,1090.0,1090.0,1090.0,0.46,25,27250.0
2024-10-23,1085.1,1085.1,1085.0,1085.0,0.6,50,54252.5
2024-10-20,1079.0,1079.0,1078.5,1078.5,-1.95,25,26970.0
2024-09-29,1100.0,1100.0,1100.0,1100.0,1.85,97,106700.0
2024-09-25,1080.0,1080.0,1080.0,1080.0,-1.04,25,27000.0
2024-09-15,1091.4,1091.4,1091.4,1091.4,0.0,25,27285.0
2024-09-11,1091.4,1091.4,1091.4,1091.4,2.0,323,352522.2
2024-09-10,1070.0,1070.0,1070.0,1070.0,-0.09,25,26750.0
2024-09-09,1071.0,1071.0,1071.0,1071.0,-1.84,30,32130.0
2024-09-08,1113.3,1113.3,1091.1,1091.1,-3.95,155,172006.5
2024-09-01,1136.0,1136.0,1136.0,1136.0,-1.99,50,56800.0
2024-07-23,1182.68,1182.68,1159.1,1159.1,-3.95,20,23417.8
2024-07-15,1122.0,1206.8,1122.0,1206.8,8.23,95,108909.5
2024-07-14,1115.0,1115.0,1115.0,1115.0,0.9,10,11150.0
2024-07-09,1085.0,1105.0,1085.0,1105.0,1.84,100,108700.0
2024-07-08,1085.0,1085.0,1085.0,1085.0,-0.09,10,10850.0
2024-07-07,1086.0,1086.0,1086.0,1086.0,1.99,10,10860.0
2024-06-27,1064.8,1064.8,1064.8,1064.8,1.99,25,26620.0
2024-06-11,1044.0,1044.0,1044.0,1044.0,-1.97,30,31320.0
2024-06-10,1065.0,1065.0,1065.0,1065.0,1.91,25,26625.0
2024-05-20,1045.0,1045.0,1045.0,1045.0,0.0,25,26125.0
2024-05-16,1030.2,1045.0,1030.2,1045.0,3.47,100,103632.5
2024-04-15,1010.0,1010.0,1010.0,1010.0,1.0,25,25250.0
2024-03-31,1018.3,1018.3,1000.0,1000.0,-3.75,20025,20025183.0
2024-03-27,1039.0,1039.0,1039.0,1039.0,1.97,32,33248.0
2024-03-21,1018.9,1018.9,1018.9,1018.9,1.99,50,50945.0
2024-03-10,999.0,999.0,999.0,999.0,-0.11,10,9990.0
2024-03-06,1000.1,1000.1,1000.1,1000.1,-0.09,500,500050.0
2024-02-28,1001.0,1001.0,1001.0,1001.0,0.09,20,20020.0
2024-02-27,1000.1,1000.1,1000.1,1000.1,0.01,25,25002.5
2024-02-25,1000.0,1000.0,1000.0,1000.0,-0.5,100,100000.0
2024-02-22,1002.1,1005.0,1002.1,1005.0,0.49,410,410890.0
2024-02-21,1000.1,1000.1,1000.1,1000.1,-1.95,25,25002.5
2024-02-12,1020.0,1020.0,1020.0,1020.0,1.8,100,102000.0
2024-02-08,1002.0,1002.0,1002.0,1002.0,0.2,10,10020.0
2024-02-06,1000.0,1000.0,1000.0,1000.0,0.9,20,20000.0
2024-01-31,991.1,991.1,991.1,991.1,-1.83,25,24777.5
2024-01-23,1009.6,1009.6,1009.6,1009.6,-2.0,30,30288.0
2024-01-11,1010.0,1030.2,1010.0,1030.2,3.06,30,30502.0
2024-01-10,980.0,999.6,980.0,999.6,2.51,130,127988.0
2024-01-09,975.2,975.2,975.1,975.1,-0.52,50,48757.7
2024-01-04,980.2,980.2,980.2,980.2,-0.99,50,49010.0
2023-12-28,990.0,990.0,990.0,990.0,0.0,70,69300.0
2023-12-27,990.0,990.0,990.0,990.0,-1.98,25,24750.0
2023-12-19,990.0,1010.0,990.0,1010.0,-1.94,49912,49413080.0
2023-12-06,1030.0,1030.0,1030.0,1030.0,-1.95,20,20600.0
2023-12-05,1050.5,1050.5,1050.5,1050.5,-2.0,10,10505.0
2023-12-04,1093.7,1093.7,1071.9,1071.9,-3.95,60,65404.0
2023-07-16,1023.0,1116.0,1023.0,1116.0,9.41,348,365450.5
2023-07-12,974.6,1020.0,974.6,1020.0,6.75,130,129886.0
2023-07-11,955.5,955.5,955.5,955.5,2.0,10,9555.0
2023-07-09,918.5,936.8,918.5,936.8,4.03,20,18553.0
2023-07-03,900.5,900.5,900.5,900.5,-0.77,25,22512.5
2023-06-27,907.5,907.5,907.5,907.5,0.0,50,45375.0
2023-06-26,921.0,921.0,907.5,907.5,-1.25,45,41265.0
2023-06-12,918.1,919.0,918.1,919.0,2.1,65,59703.5
2023-06-06,900.2,900.2,900.1,900.1,-1.09,40,36006.7
2023-05-15,910.0,910.0,910.0,910.0,-0.55,25,22750.0
2023-05-02,915.1,915.1,915.0,915.0,-1.82,25,22876.2
2023-04-20,932.0,932.0,932.0,932.0,-0.85,130,121160.0
2023-04-18,937.0,940.0,937.0,940.0,-1.67,70,65710.0
2023-04-17,975.0,975.0,956.0,956.0,-2.45,28,26958.0
2023-04-16,980.0,980.0,980.0,980.0,-1.9,10,9800.0
2023-04-11,999.0,999.0,999.0,999.0,-1.65,500,499500.0
2023-04-09,1079.1,1079.1,1015.8,1015.8,-7.75,60,62624.0
2022-08-29,1101.1,1101.1,1101.1,1101.1,1.99,25,27527.5
2022-08-25,1037.4,1079.6,1037.4,1079.6,1.99,75,79915.0
2022-07-15,981.5,1058.5,981.5,1058.5,10.0,65,66647.0
2022-07-04,962.3,962.3,962.3,962.3,1.99,20,19246.0
2022-04-18,943.5,943.5,943.5,943.5,0.22,25,23587.5
2022-04-12,960.4,960.4,941.4,941.4,-3.94,100,95565.0
2022-03-16,980.0,980.0,980.0,980.0,-2.0,300,294000.0
2022-01-23,1000.0,1000.0,1000.0,1000.0,-0.45,100,100000.0
2022-01-16,1004.5,1004.5,1004.5,1004.5,-2.0,25,25112.5
2022-01-13,1025.0,1025.0,1025.0,1025.0,0.39,30,30750.0
2022-01-06,1021.0,1021.0,1021.0,1021.0,-1.83,25,25525.0
2022-01-04,1040.0,1040.0,1040.0,1040.0,0.0,50,52000.0
2022-01-02,1040.0,1040.0,1040.0,1040.0,1.96,25,26000.0
2021-12-15,1020.0,1020.0,1020.0,1020.0,-1.35,65,66300.0
2021-12-13,1034.0,1034.0,1034.0,1034.0,-1.99,10,10340.0
2021-11-24,1054.0,1055.0,1054.0,1055.0,0.0,55,57995.0
2021-11-15,1055.0,1055.0,1055.0,1055.0,-1.95,50,52750.0
2021-09-26,1076.0,1076.0,1076.0,1076.0,0.08,75,80700.0
2021-08-09,1096.68,1097.0,1075.1,1075.1,-3.92,200,216221.3
2021-07-15,1098.0,1119.0,1098.0,1119.0,3.9,20,22170.0
2021-07-07,1077.0,1077.0,1077.0,1077.0,1.99,10,10770.0
2021-07-04,1094.0,1094.0,1056.0,1056.0,-5.38,75,79835.0
2021-07-01,1116.0,1116.0,1116.0,1116.0,0.0,10,11160.0
2021-06-27,1116.0,1116.0,1116.0,1116.0,1.92,820,915120.0
2021-06-23,1095.0,1095.0,1095.0,1095.0,0.92,240,262800.0
2021-06-22,1082.0,1085.0,1082.0,1085.0,0.28,225,243525.0
2021-06-20,1071.0,1082.0,1071.0,1082.0,1.98,75,80600.0
2021-06-10,1061.0,1061.0,1061.0,1061.0,0.0,25,26525.0
2021-06-09,1061.0,1061.0,1061.0,1061.0,-0.38,100,106100.0
2021-06-08,1065.0,1065.0,1065.0,1065.0,0.66,525,559125.0
2021-06-07,1058.0,1058.0,1058.0,1058.0,-0.19,25,26450.0
2021-05-30,1065.0,1065.0,1060.0,1060.0,0.47,175,185825.0
2021-05-24,1055.0,1055.0,1055.0,1055.0,0.0,50,52750.0
2021-05-23,1060.0,1060.0,1055.0,1055.0,-0.47,100,105750.0
2021-05-18,1060.0,1060.0,1060.0,1060.0,0.76,50,53000.0
2021-05-16,1052.0,1052.0,1052.0,1052.0,-1.96,100,105200.0
2021-05-13,1065.0,1073.0,1065.0,1073.0,2.0,50,53450.0
2021-05-10,1052.0,1052.0,1052.0,1052.0,0.0,25,26300.0
2021-05-09,1052.0,1052.0,1052.0,1052.0,0.19,25,26300.0
2021-05-05,1050.0,1050.0,1050.0,1050.0,0.19,25,26250.0
2021-05-04,1030.0,1048.0,1030.0,1048.0,0.19,75,77850.0
2021-05-03,1046.0,1046.0,1046.0,1046.0,0.1,60,62760.0
2021-05-02,1066.0,1066.0,1045.0,1045.0,-0.1,115,122065.0
2021-04-28,1047.0,1047.0,1046.0,1046.0,-0.1,150,156950.0
2021-04-27,1046.0,1047.0,1046.0,1047.0,-0.29,125,130800.0
2021-04-26,1000.0,1050.0,1000.0,1050.0,5.0,1325,1376850.0
2026-02-17,1121.2,1125.1,1121.2,1125.1,-0.43,125,140540.0
2026-03-01,1139.0,1139.0,1139.0,1139.0,1.24,25,28475.0
2026-03-03,1160.0,1160.0,1160.0,1160.0,1.84,25,29000.0
2026-03-12,1165.0,1165.0,1165.0,1165.0,0.43,50,58250.0
2026-03-15,1165.0,1165.0,1165.0,1165.0,0.0,150,174750.0
2026-03-17,1165.0,1184.0,1165.0,1184.0,1.63,275,322750.0
