fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,10.00,10.00,2025-11-09 [Closed]
2080/2081,9.5079,0.5004,10.0083,2024-12-31 [Closed]
2079/2080,9.5,0.5,10.00,2023-12-14 [Closed]
2078/2079,12.35,0.65,13.00,2022-12-29 [Closed]
2077/2078,13.3,0.7,14.00,2021-12-29 [Closed]
2076/2077,15.00,0.79,15.79,2020-12-29 [Closed]
2075/2076,18.525,0.975,19.5,2020-03-10 [Closed]
2074/2075,17.00,0.89,17.89,2019-02-27 [Closed]
2073/2074,31.48,1.66,33.14,2017-12-19 [Closed]
2072/2073,30.00,1.58,31.58,2016-11-03 [Closed]
2071/2072,30.00,1.58,31.58,2015-12-21 [Closed]
2070/2071,25.00,1.316,26.316,2014-12-31 [Closed]
2069/2070,20.00,5.00,25.00,2013-10-03 [Closed]
2068/2069,20.00,,20.00,2012-11-21 [Closed]
2067/2068,0.00,10.53,10.53,2011-12-01 [Closed]
