fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,15.00,15.00,2025-10-08 [Closed]
2080/2081,0.00,6.35,6.35,2024-12-26 [Closed]
2079/2080,,5.263,5.263,2023-12-27 [Closed]
2077/2078,40.00,6.00,46.00,2021-12-30 [Closed]
2076/2077,18.00,5.5,23.5,2020-12-30 [Closed]
2075/2076,1.75,9.8,11.55,2019-12-31 [Closed]
2074/2075,0.00,2.9,2.9,2018-12-18 [Closed]
2073/2074,5.71,0.32,6.03,2018-06-18 [Closed]
2072/2073,14.00,0.74,14.74,2016-12-24 [Closed]
2071/2072,11.4,0.6,12.00,2016-01-01 [Closed]
2070/2071,0.00,7.5,7.5,2014-10-09 [Closed]
2068/2069,0.00,8.00,8.00,2012-12-28 [Closed]
2067/2068,12.5,,12.5,
