fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,14.25,0.75,15.00,2025-12-31 [Closed]
2080/2081,14.25,0.75,15.00,2024-12-26 [Closed]
2078/2079,15.00,0.7895,15.7895,2023-02-17 [Closed]
2077/2078,25.00,1.3158,26.3158,2022-01-03 [Closed]
2076/2077,12.00,0.6315,12.6315,2021-03-30 [Closed]
2075/2076,15.00,0.78,15.78,2019-12-31 [Closed]
2074/2075,10.45,0.54,10.99,2019-03-25 [Closed]
2073/2074,15.00,0.78,15.78,2017-12-29 [Closed]
2072/2073,12.66,0.66,13.32,2016-12-23 [Closed]
2071/2072,20.00,,20.00,2015-12-25 [Closed]
2070/2071,20.00,1.0526,21.0526,2014-11-23 [Closed]
