fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,5.00,5.37,10.37,2025-12-22 [Closed]
2080/2081,3.00,4.00,7.00,2024-12-31 [Closed]
2079/2080,,6.4,6.4,2024-01-04 [Closed]
2078/2079,4.00,6.47,10.47,2023-01-02 [Closed]
2077/2078,20.00,1.0526,21.0526,2021-12-28 [Closed]
2076/2077,8.8,0.46,9.26,2021-03-16 [Closed]
2075/2076,8.00,9.89,17.89,2019-11-06 [Closed]
2074/2075,8.00,7.00,15.00,2018-09-30 [Closed]
2073/2074,0.00,9.00,9.00,2018-04-20 [Closed]
2072/2073,8.00,,8.00,2017-04-20 [Closed]
