fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,13.53,4.67,18.2,2025-10-17 [Closed]
2079/2080,9.75,0.5132,10.2632,2024-01-04 [Closed]
2078/2079,13.5,0.7105,14.2105,2023-01-04 [Closed]
2077/2078,17.575,0.925,18.5,2021-12-01 [Closed]
2076/2077,11.25,4.26,15.51,2020-12-28 [Closed]
2075/2076,17.6,0.93,18.53,2019-12-09 [Closed]
2074/2075,18.25,0.96,19.21,2018-12-04 [Closed]
2073/2074,20.00,1.05,21.05,2017-12-22 [Closed]
2072/2073,34.00,0.00,34.00,2016-11-09 [Closed]
2071/2072,31.00,1.63,32.63,2015-12-28 [Closed]
2070/2071,38.00,2.00,40.00,2014-11-14 [Closed]
2069/2070,20.00,7.5,27.5,2013-11-15 [Closed]
2068/2069,22.5,27.5,50.00,2012-10-05 [Closed]
