fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,12.5,12.5,2025-12-31 [Closed]
2080/2081,,10.00,10.00,2024-11-25 [Closed]
2079/2080,,11.00,11.00,2023-12-15 [Closed]
2078/2079,18.5,11.5,30.00,2023-01-02 [Closed]
2077/2078,33.6,4.4,38.00,2021-12-31 [Closed]
2076/2077,33.5,1.76,35.26,2020-12-30 [Closed]
2075/2076,12.00,22.00,34.00,2019-12-24 [Closed]
2074/2075,12.00,22.00,34.00,2019-02-26 [Closed]
2073/2074,30.00,18.00,48.00,2017-09-12 [Closed]
2072/2073,30.00,15.00,45.00,2016-09-21 [Closed]
2071/2072,30.00,6.842,36.842,2015-12-06 [Closed]
2070/2071,20.00,45.00,65.00,2014-11-13 [Closed]
2069/2070,25.00,40.00,65.00,2013-12-09 [Closed]
2068/2069,20.00,40.00,60.00,2012-10-03 [Closed]
2067/2068,0.00,30.00,30.00,2011-12-04 [Closed]
