date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.27,9.45,9.09,9.26,1.87,2900,26864.0
2026-02-11,9.46,9.46,9.0,9.09,-2.05,3700,33930.0
2026-02-10,9.4,9.4,9.05,9.28,0.65,6000,55471.0
2026-02-09,8.97,9.29,8.97,9.22,1.21,2500,22897.0
2026-02-08,9.33,9.33,9.11,9.11,-0.44,6300,57850.0
2026-02-05,9.55,9.55,9.1,9.15,-2.35,8800,81125.0
2026-02-04,9.41,9.41,9.2,9.37,1.52,508700,4688333.21
2026-02-03,8.88,9.41,8.88,9.23,1.88,174697,1617565.41
2026-02-02,8.9,9.24,8.73,9.06,3.78,191671,1746312.6
2026-02-01,8.85,9.24,8.56,8.73,-2.13,918100,8095460.0
2026-01-29,9.02,9.1,8.92,8.92,-3.04,15840,142602.5
2026-01-28,8.97,9.3,8.8,9.2,0.55,11070,101525.5
2026-01-27,8.85,9.15,8.85,9.15,1.89,103800,948824.0
2026-01-26,8.85,9.13,8.68,8.98,1.93,171833,1558132.76
2026-01-25,8.52,8.98,8.52,8.81,1.97,47621,421302.58
2026-01-22,8.61,8.7,8.61,8.64,-1.26,4210,36441.4
2026-01-21,8.65,8.82,8.61,8.75,-0.57,50640,441583.7
2026-01-20,8.87,9.0,8.7,8.8,1.15,218320,1962157.0
2026-01-18,8.68,8.8,8.68,8.7,0.23,215770,1897227.68
2026-01-14,8.6,8.68,8.55,8.68,-0.8,217038,1878041.5
2026-01-13,8.6,8.75,8.6,8.75,1.51,8300,72064.0
2026-01-12,8.5,8.75,8.5,8.62,-0.35,8750,75767.5
2026-01-08,8.6,8.7,8.6,8.65,0.58,1700,14706.0
2026-01-07,8.6,8.76,8.6,8.6,-0.69,6145,52965.0
2026-01-06,8.6,8.78,8.6,8.66,0.46,25150,217293.5
2026-01-05,8.48,8.63,8.48,8.62,-0.35,34550,297474.3
2026-01-04,8.51,8.65,8.5,8.65,0.58,47510,409962.5
2026-01-01,8.6,8.76,8.53,8.6,0.0,15649,135358.61
2025-12-31,8.35,8.79,8.35,8.6,1.65,109250,939844.25
2025-12-29,8.31,8.57,8.31,8.46,0.48,87690,742702.4
2025-12-28,8.35,8.57,8.35,8.42,-0.71,9921,83700.71
2025-12-24,8.18,8.49,8.18,8.48,1.92,5150,43317.5
2025-12-23,8.19,8.32,8.19,8.32,-0.12,2200,18251.0
2025-12-22,8.5,8.59,8.24,8.33,-2.0,19265,162657.8
2025-12-21,8.39,8.5,8.39,8.5,1.19,1700,14366.0
2025-12-18,8.36,8.53,8.36,8.4,0.0,7159,60676.0
