date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.2,9.3,9.12,9.15,0.0,10315,94738.5
2026-02-11,9.13,9.31,9.02,9.15,-1.72,5240,47705.0
2026-02-10,9.29,9.31,9.13,9.31,0.22,2000,18529.0
2026-02-09,9.1,9.29,9.07,9.29,0.43,2150,19745.5
2026-02-08,9.61,9.8,9.25,9.25,-5.61,25400,239906.0
2026-02-05,9.51,9.8,8.95,9.8,5.04,129092,1226367.07
2026-02-04,9.73,9.73,9.05,9.33,-2.2,10900,101079.0
2026-02-03,9.36,9.54,9.02,9.54,3.92,68214,643219.17
2026-02-02,8.95,9.18,8.95,9.18,0.77,2860,25917.8
2026-02-01,9.22,9.4,9.11,9.11,-3.09,8825,81684.54
2026-01-29,9.05,9.59,9.05,9.4,1.84,123910,1167875.9
2026-01-28,9.2,9.3,9.08,9.23,1.43,187531,1738547.48
2026-01-27,8.85,9.42,8.85,9.1,1.9,103920,958514.6
2026-01-26,8.78,9.0,8.78,8.93,-0.22,91850,819968.5
2026-01-25,8.86,9.07,8.86,8.95,2.87,174727,1571179.09
2026-01-22,8.5,8.81,8.5,8.7,0.69,30600,268024.5
2026-01-21,8.68,8.85,8.62,8.64,-2.37,6750,58875.5
2026-01-20,8.85,8.85,8.7,8.85,1.96,42208,371874.44
2026-01-18,8.45,8.69,8.45,8.68,0.93,23400,201892.0
2026-01-14,8.41,8.6,8.41,8.6,0.35,1650,13979.0
2026-01-13,8.41,8.62,8.41,8.57,0.82,6280,53843.6
2026-01-12,8.5,8.77,8.5,8.5,-1.51,1800,15495.0
2026-01-08,8.65,8.78,8.63,8.63,-0.12,13890,121191.1
2026-01-07,8.53,8.8,8.53,8.64,-0.69,15840,138156.5
2026-01-06,8.5,8.7,8.4,8.7,0.35,11950,103369.0
2026-01-05,8.65,8.68,8.5,8.67,0.23,2050,17698.0
2026-01-04,8.46,8.65,8.46,8.65,0.46,1200,10259.0
2026-01-01,8.6,8.72,8.44,8.61,0.58,70000,597358.0
2025-12-31,8.46,8.69,8.46,8.56,-0.23,3330,28681.7
2025-12-29,8.42,8.58,8.42,8.58,1.9,21196,181040.68
2025-12-28,8.31,8.45,8.31,8.42,0.0,5050,42261.5
2025-12-24,8.49,8.49,8.42,8.42,-0.94,1000,8446.25
2025-12-23,8.49,8.5,8.49,8.5,-1.16,2900,24625.0
2025-12-22,8.44,8.6,8.44,8.6,1.9,11448,97660.0
2025-12-21,8.25,8.5,8.25,8.44,1.2,37500,314029.0
2025-12-18,8.23,8.42,8.23,8.34,0.0,3100,25844.0
2025-12-17,8.27,8.44,8.27,8.34,-0.48,20560,173042.4
2025-12-16,8.3,8.44,8.28,8.38,-0.95,5100,42362.0
2025-12-15,8.35,8.51,8.28,8.46,1.32,4365,36320.35
2025-12-14,8.29,8.55,8.29,8.35,-0.48,18800,158325.0
2025-12-11,8.4,8.49,8.24,8.39,0.72,14400,120905.75
