fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,6.3158,6.3158,2025-12-29 [Closed]
2080/2081,15.00,0.79,15.79,2025-03-20 [Closed]
2079/2080,10.00,0.5263,10.5263,2023-12-14 [Closed]
2078/2079,8.00,0.4211,8.4211,2022-12-23 [Closed]
2077/2078,11.00,0.5789,11.5789,2022-05-31 [Closed]
2076/2077,8.00,2.00,10.00,2021-03-30 [Closed]
2075/2076,5.00,2.89,7.89,2020-03-17 [Closed]
2074/2075,7.5,0.00,7.5,2019-08-09 [Closed]
2073/2074,4.52,,4.52,2018-04-20 [Closed]
2072/2073,5.00,,5.00,2017-09-01 [Closed]
2070/2071,9.00,0.47,9.47,2015-10-12 [Closed]
2068/2069,20.00,1.05,21.05,2012-12-27 [Closed]
2067/2068,7.37,,7.37,2012-05-08 [Closed]
