fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,3.00,12.7894,13.7894,2026-02-08 [Closed]
2080/2081,7.00,0.3684,7.3684,2025-05-13 [Closed]
2078/2079,15.00,0.79,15.79,2023-01-17 [Closed]
2077/2078,15.00,0.79,15.79,2022-03-15 [Closed]
2076/2077,15.5,0.82,16.32,2021-07-02 [Closed]
2075/2076,0.00,8.16,8.16,2020-04-06 [Closed]
2074/2075,12.00,0.63,12.63,2019-08-20 [Closed]
2073/2074,10.00,0.52,10.52,2017-09-14 [Closed]
2072/2073,20.00,1.05,21.05,2016-12-29 [Closed]
2071/2072,15.00,0.78,15.78,2016-03-11 [Closed]
2070/2071,12.71,0.67,13.38,2015-09-17 [Closed]
2068/2069,11.5,,11.5,2013-05-03 [Closed]
2067/2068,5.00,,5.00,2012-03-27 [Closed]
