fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,4.00,3.3684,7.3684,2026-01-06 [Closed]
2080/2081,2.5,0.1316,2.6316,2025-06-05 [Closed]
2079/2080,5.5,0.2895,5.7895,2024-02-08 [Closed]
2078/2079,10.00,0.5263,10.5263,2023-03-27 [Closed]
2077/2078,10.00,0.5263,10.5263,2022-03-20 [Closed]
2076/2077,10.00,0.5263,10.5263,2021-07-29 [Closed]
2075/2076,7.00,0.37,7.37,2020-11-10 [Closed]
2073/2074,25.00,1.315,26.315,2018-02-01 [Closed]
2072/2073,25.00,1.31,26.31,2016-12-30 [Closed]
2071/2072,20.00,,20.00,2015-12-31 [Closed]
2070/2071,15.00,6.05,21.05,2015-01-01 [Closed]
2069/2070,10.00,11.05,21.05,2014-01-24 [Closed]
2068/2069,20.00,,20.00,2012-06-15 [Closed]
