fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,5.00,16.05,21.05,2025-12-22 [Closed]
2080/2081,10.00,11.05,21.05,2025-01-23 [Closed]
2079/2080,,21.05,21.05,2024-06-18 [Closed]
2077/2078,0.00,15.7895,15.7895,2022-11-04 [Closed]
2076/2077,14.00,0.7368,14.7368,2022-03-21 [Closed]
2075/2076,31.00,20.00,51.00,2021-01-27 [Closed]
2074/2075,25.00,23.5,48.5,2019-05-02 [Closed]
2073/2074,42.00,28.5,70.5,2018-03-28 [Closed]
2072/2073,25.00,1.31,26.31,2017-03-10 [Closed]
2071/2072,25.00,1.31,26.31,2016-04-28 [Closed]
2070/2071,60.00,8.00,68.00,2015-05-26 [Closed]
2069/2070,70.00,28.5,98.5,2014-05-04 [Closed]
2068/2069,70.00,56.31,126.31,2013-04-18 [Closed]
