fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,4.00,8.5,12.5,2026-01-01 [Closed]
2080/2081,5.00,10.00,15.00,2025-06-05 [Closed]
2079/2080,4.00,10.00,14.00,2024-08-08 [Closed]
2078/2079,8.00,6.5,14.5,2023-05-25 [Closed]
2077/2078,15.00,0.789,15.789,2022-11-24 [Closed]
2076/2077,19.00,1.00,20.00,2022-03-06 [Closed]
2075/2076,10.00,0.53,10.53,2021-01-15 [Closed]
2074/2075,2.5,12.00,14.5,2019-10-27 [Closed]
2073/2074,13.5,0.00,13.5,2019-03-15 [Closed]
2072/2073,25.00,1.32,26.32,2017-07-23 [Closed]
2071/2072,30.00,1.58,31.58,2016-11-24 [Closed]
2070/2071,30.00,8.00,38.00,2015-04-24 [Closed]
2069/2070,55.00,17.5,72.5,2014-05-26 [Closed]
2068/2069,25.00,,25.00,2013-03-14 [Closed]
2067/2068,30.00,1.58,31.58,2012-07-31 [Closed]
