fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,5.00,5.00,10.00,2025-12-24 [Closed]
2078/2079,0.00,8.25,8.25,2022-12-26 [Closed]
2077/2078,12.5,3.3,15.8,2021-12-22 [Closed]
2076/2077,13.00,3.2,16.2,2020-12-31 [Closed]
2075/2076,21.00,14.00,35.00,2019-12-20 [Closed]
2074/2075,10.00,20.00,30.00,2018-12-25 [Closed]
2073/2074,15.00,0.7895,15.7895,2018-08-02 [Closed]
2072/2073,19.00,1.00,20.00,2016-12-22 [Closed]
2071/2072,8.00,0.42,8.42,2016-01-26 [Closed]
2070/2071,20.00,1.05,21.05,2014-11-13 [Closed]
2069/2070,0.00,10.00,10.00,2013-12-01 [Closed]
2067/2068,0.00,9.00,9.00,2011-12-04 [Closed]
