fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,8.00,0.421,8.421,2026-01-05 [Closed]
2080/2081,0.00,5.00,5.00,2024-11-24 [Closed]
2078/2079,4.00,4.95,8.95,2022-12-29 [Closed]
2077/2078,16.00,0.6313,16.6313,2021-12-08 [Closed]
2076/2077,15.00,0.00,15.00,2021-01-04 [Closed]
2075/2076,16.00,0.00,16.00,2019-12-30 [Closed]
2074/2075,16.00,0.00,16.00,2019-05-23 [Closed]
2073/2074,27.00,,27.00,2017-12-20 [Closed]
2072/2073,17.25,1.21,18.46,2017-01-12 [Closed]
2071/2072,18.00,0.95,18.95,2015-12-30 [Closed]
2070/2071,19.00,1.00,20.00,2014-12-28 [Closed]
2069/2070,10.00,5.00,15.00,2013-12-27 [Closed]
2068/2069,4.00,7.58,11.58,2012-12-03 [Closed]
2067/2068,0.00,12.63,12.63,2011-11-16 [Closed]
