fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2078/2079,4.00,0.21,4.21,2023-01-03 [Closed]
2077/2078,8.075,0.425,8.5,2022-01-05 [Closed]
2076/2077,5.00,0.263,5.263,2021-01-01 [Closed]
2075/2076,7.00,7.2,14.2,2019-12-20 [Closed]
2074/2075,5.00,8.684,13.684,2018-10-29 [Closed]
2073/2074,8.26,0.435,8.695,2018-06-10 [Closed]
2072/2073,13.5,0.71,14.21,2016-10-03 [Closed]
2071/2072,48.5,2.55,51.05,2015-10-25 [Closed]
2070/2071,6.00,10.00,16.00,2014-11-01 [Closed]
2067/2068,0.00,10.00,10.00,2011-12-16 [Closed]
