fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,8.7,0.4579,9.1579,2026-04-09 [Closed]
2080/2081,18.00,0.9474,18.9474,2025-07-18 [Closed]
2079/2080,4.75,0.25,5.00,2024-04-19 [Closed]
2078/2079,6.7,0.35,7.05,2023-02-24 [Closed]
2077/2078,11.00,0.58,11.58,2022-03-31 [Closed]
2076/2077,10.00,0.53,10.53,2021-05-09 [Closed]
2075/2076,5.00,11.32,16.32,2020-01-24 [Closed]
2073/2074,19.2,1.01,20.21,2017-10-24 [Closed]
2072/2073,17.00,,17.00,2016-10-18 [Closed]
2071/2072,12.00,,12.00,2015-12-03 [Closed]
