fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,8.00,8.00,2025-11-11 [Closed]
2080/2081,9.5,0.5,10.00,2024-12-26 [Closed]
2079/2080,8.6,0.4526,9.0526,2023-11-23 [Closed]
2078/2079,8.00,3.00,11.00,2022-12-30 [Closed]
2077/2078,10.00,0.5263,10.5263,2021-11-16 [Closed]
2076/2077,9.00,3.63,12.63,2020-12-25 [Closed]
2075/2076,6.00,10.00,16.00,2019-11-15 [Closed]
2074/2075,10.00,0.53,10.53,2018-12-30 [Closed]
2073/2074,13.00,0.68,13.68,2017-11-10 [Closed]
2072/2073,15.00,0.79,15.79,2017-03-14 [Closed]
