fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,5.00,5.3583,10.3583,2025-12-09 [Closed]
2080/2081,3.65,0.19,3.84,2025-01-01 [Closed]
2079/2080,5.00,0.263,5.263,2023-11-27 [Closed]
2078/2079,8.534,0.449,8.983,2023-03-12 [Closed]
2077/2078,10.00,0.5263,10.5263,2021-10-22 [Closed]
2076/2077,5.00,0.2632,5.2632,2021-03-23 [Closed]
2075/2076,0.00,8.9593,8.9593,2019-12-31 [Closed]
2074/2075,4.00,5.45,9.45,2019-01-01 [Closed]
2073/2074,2.5,9.3,11.8,2018-06-18 [Closed]
2072/2073,16.07,0.85,16.92,2017-05-18 [Closed]
2071/2072,20.85,,20.85,2016-02-04 [Closed]
2070/2071,15.00,6.3,21.3,2015-03-28 [Closed]
2069/2070,0.00,19.17,19.17,2013-02-26 [Closed]
2068/2069,0.00,11.00,11.00,
2067/2068,0.00,10.00,10.00,2011-12-09 [Closed]
