fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,7.3685,7.3685,2025-10-13 [Closed]
2080/2081,,5.2632,5.2632,2024-11-10 [Closed]
2079/2080,9.00,5.7,14.7,2023-10-09 [Closed]
2078/2079,10.00,0.98,10.98,2022-12-05 [Closed]
2077/2078,17.00,0.8947,17.8947,2021-10-24 [Closed]
2076/2077,10.00,3.6,13.6,2020-11-02 [Closed]
2075/2076,10.00,11.05,21.05,2019-09-30 [Closed]
2074/2075,0.00,14.00,14.00,2018-11-30 [Closed]
2073/2074,16.00,,16.00,2017-09-22 [Closed]
2072/2073,15.00,0.79,15.79,2016-09-29 [Closed]
2071/2072,20.00,1.05,21.05,2015-10-01 [Closed]
2070/2071,15.00,0.79,15.00,2014-09-28 [Closed]
2069/2070,10.00,0.53,10.53,2013-09-27 [Closed]
2068/2069,0.00,5.5,5.5,2012-11-23 [Closed]
2067/2068,0.00,6.5,6.5,2011-11-17 [Closed]
