fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,4.00,5.00,9.00,2025-12-19 [Closed]
2080/2081,3.8,6.85,10.65,2024-12-22 [Closed]
2079/2080,3.75,6.8,10.55,2023-12-15 [Closed]
2078/2079,3.00,7.53,10.53,2022-12-28 [Closed]
2077/2078,3.5,1.81,5.31,2021-12-22 [Closed]
2076/2077,6.00,3.47,9.47,2020-12-30 [Closed]
2075/2076,6.00,10.84,16.84,2019-11-29 [Closed]
2074/2075,5.00,10.79,15.79,2019-01-02 [Closed]
2073/2074,15.42,0.81,16.23,2017-12-15 [Closed]
2072/2073,28.00,1.53,29.53,2017-02-05 [Closed]
2071/2072,27.00,1.42,28.42,2016-01-19 [Closed]
2070/2071,15.00,7.00,22.00,2015-01-01 [Closed]
2069/2070,12.5,7.5,20.00,2013-09-25 [Closed]
2068/2069,12.5,5.00,17.5,2012-09-28 [Closed]
2067/2068,12.5,5.00,17.5,2011-11-06 [Closed]
