fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,5.00,5.53,10.53,2025-11-03 [Closed]
2080/2081,0.00,4.00,4.00,2024-12-29 [Closed]
2079/2080,,4.21,4.21,2023-11-07 [Closed]
2078/2079,12.5,0.66,13.16,2022-12-28 [Closed]
2077/2078,14.25,0.75,15.00,2022-01-02 [Closed]
2076/2077,12.00,3.00,15.00,2021-01-12 [Closed]
2075/2076,10.00,15.26,25.26,2019-10-16 [Closed]
2074/2075,5.00,8.16,13.16,2018-12-24 [Closed]
2073/2074,14.00,,14.00,2018-03-04 [Closed]
2072/2073,39.00,,39.00,2017-02-02 [Closed]
2071/2072,20.00,1.05,21.05,2015-12-16 [Closed]
2070/2071,12.00,11.16,23.16,2014-10-20 [Closed]
2069/2070,12.00,10.11,22.11,2014-01-02 [Closed]
2068/2069,0.00,8.42,8.42,2013-01-01 [Closed]
2067/2068,3.00,12.79,15.79,2011-12-14 [Closed]
