fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,19.00,19.00,2025-12-02 [Closed]
2080/2081,6.5,19.00,25.5,2024-11-27 [Closed]
2079/2080,,19.00,19.00,2023-11-23 [Closed]
2078/2079,0.00,16.51,16.51,2022-11-23 [Closed]
2077/2078,10.00,3.06,13.06,2021-11-26 [Closed]
2076/2077,7.00,4.84,11.84,2020-12-24 [Closed]
2075/2076,0.00,22.5,22.5,2019-11-25 [Closed]
2074/2075,0.00,17.5,17.5,2019-01-13 [Closed]
2073/2074,100.00,5.26,105.26,2017-12-31 [Closed]
2072/2073,33.33,1.75,35.08,2016-12-07 [Closed]
2071/2072,25.00,19.21,44.21,2016-04-30 [Closed]
2070/2071,10.00,41.5,51.5,2014-10-31 [Closed]
2069/2070,10.00,40.00,50.00,2013-10-30 [Closed]
2068/2069,15.00,45.00,60.00,2012-11-09 [Closed]
2067/2068,0.00,50.00,50.00,2011-11-16 [Closed]
