fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,3.00,10.00,13.00,2025-11-28 [Closed]
2080/2081,3.00,5.00,8.00,2024-12-18 [Closed]
2079/2080,10.5,0.55,11.05,2023-11-27 [Closed]
2078/2079,13.3,0.7,14.00,2022-12-27 [Closed]
2077/2078,10.93,0.57,11.5,2021-12-03 [Closed]
2076/2077,13.00,0.00,13.00,2020-12-31 [Closed]
2075/2076,15.00,0.00,15.00,2020-06-15 [Closed]
2074/2075,17.7,0.93,18.63,2018-10-02 [Closed]
2073/2074,25.00,,25.00,2017-12-25 [Closed]
2072/2073,27.00,,27.00,2016-11-30 [Closed]
2071/2072,27.00,1.42,28.42,2015-10-12 [Closed]
2070/2071,10.00,12.00,22.00,2014-11-07 [Closed]
2069/2070,20.00,,20.00,2013-10-17 [Closed]
