fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,6.00,0.3158,6.3158,2025-12-29 [Closed]
2080/2081,10.00,0.5263,10.5263,2025-02-12 [Closed]
2078/2079,16.00,0.8421,16.8421,2023-01-31 [Closed]
2076/2077,27.769,1.462,29.231,2021-03-10 [Closed]
2073/2074,29.00,1.526,30.526,2017-12-08 [Closed]
2072/2073,60.00,3.15,63.15,2016-12-09 [Closed]
2071/2072,24.00,1.26,25.26,2016-03-03 [Closed]
2070/2071,20.00,1.05,21.05,2015-02-20 [Closed]
2069/2070,20.00,,20.00,2014-06-06 [Closed]
2068/2069,40.00,,40.00,2013-06-04 [Closed]
