fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,6.4,6.4,2026-01-02 [Closed]
2080/2081,1.8659,0.0982,1.9641,2025-01-03 [Closed]
2079/2080,,5.05,5.05,2024-01-05 [Closed]
2078/2079,2.4,5.2,7.6,2023-01-03 [Closed]
2077/2078,7.7,3.3,11.00,2022-01-06 [Closed]
2076/2077,7.37,3.16,10.53,2020-12-30 [Closed]
2075/2076,2.35,10.65,13.00,2019-12-17 [Closed]
2074/2075,1.23,8.77,10.00,2018-12-02 [Closed]
2073/2074,26.57,,26.57,2018-06-18 [Closed]
2072/2073,10.5,0.55,11.05,2016-10-07 [Closed]
2071/2072,11.61,0.61,12.22,2015-09-23 [Closed]
2070/2071,12.00,0.63,12.63,2014-11-14 [Closed]
2069/2070,10.00,10.4,20.4,2013-11-18 [Closed]
2068/2069,0.00,15.79,15.79,2012-10-04 [Closed]
2067/2068,15.02,7.11,22.13,2011-10-18 [Closed]
