fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,14.25,0.75,15.00,2025-12-24 [Closed]
2080/2081,13.3,0.7,14.00,2025-01-01 [Closed]
2079/2080,14.25,0.75,15.00,2024-01-01 [Closed]
2078/2079,26.00,1.3684,27.3684,2023-03-12 [Closed]
2077/2078,25.00,1.3158,26.3158,2021-12-20 [Closed]
2076/2077,25.00,1.3157,26.3157,2020-12-31 [Closed]
2075/2076,27.25,1.434,28.684,2019-12-30 [Closed]
2074/2075,25.00,1.313,26.313,2019-01-17 [Closed]
2073/2074,25.00,1.316,26.316,2017-11-26 [Closed]
2072/2073,25.00,1.31,26.31,2016-12-29 [Closed]
2071/2072,25.00,1.31,26.31,2015-12-28 [Closed]
2070/2071,0.00,15.78,15.78,2014-12-08 [Closed]
2069/2070,15.00,11.31,26.31,2013-12-27 [Closed]
