fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,14.25,0.75,15.00,2026-01-02 [Closed]
2080/2081,13.5,0.7105,14.2105,2025-04-24 [Closed]
2079/2080,7.00,0.3684,7.3684,2024-02-25 [Closed]
2078/2079,22.00,1.1579,23.1579,2023-03-14 [Closed]
2077/2078,25.00,0.00,25.00,2021-10-29 [Closed]
2076/2077,12.3907,0.6521,13.04,2021-02-27 [Closed]
2075/2076,26.75,1.4,28.15,2019-12-01 [Closed]
2074/2075,20.00,1.05,21.05,2018-09-21 [Closed]
2073/2074,16.66,0.88,17.54,2017-10-09 [Closed]
2072/2073,30.4,1.6,32.00,2016-10-04 [Closed]
2071/2072,34.2,1.8,36.00,2015-12-01 [Closed]
2070/2071,27.39,20.00,47.39,2014-10-22 [Closed]
2069/2070,0.00,19.00,19.00,2013-12-19 [Closed]
