fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,10.00,,10.00,
2080/2081,0.00,10.00,10.00,2025-03-14 [Closed]
2079/2080,15.00,0.79,15.79,2024-03-22 [Closed]
2078/2079,10.00,5.00,15.00,2023-03-10 [Closed]
2077/2078,10.00,0.5,10.5,2022-03-29 [Closed]
2076/2077,20.00,5.00,25.00,2021-10-19 [Closed]
2075/2076,25.00,10.00,35.00,2020-11-30 [Closed]
2074/2075,25.00,10.00,35.00,2019-03-08 [Closed]
2073/2074,25.00,10.00,35.00,2018-02-20 [Closed]
2072/2073,20.00,5.00,25.00,2017-06-28 [Closed]
2071/2072,15.00,10.00,25.00,2016-05-25 [Closed]
2070/2071,10.00,10.00,20.00,2015-03-09 [Closed]
2069/2070,10.00,15.00,25.00,2014-03-23 [Closed]
2068/2069,10.00,15.00,25.00,2013-04-14 [Closed]
2067/2068,35.00,10.00,45.00,2012-04-20 [Closed]
