fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,5.6365,4.3635,10.00,2025-12-28 [Closed]
2080/2081,14.25,0.75,15.00,2024-10-25 [Closed]
2079/2080,12.3599,0.6505,13.0104,2023-12-08 [Closed]
2078/2079,15.00,6.05,21.05,2023-02-22 [Closed]
2077/2078,19.00,6.00,25.00,2021-12-21 [Closed]
2076/2077,19.0057,1.00,20.0057,2021-03-12 [Closed]
2075/2076,26.00,14.00,40.00,2019-12-17 [Closed]
2074/2075,25.00,11.84,36.84,2018-12-25 [Closed]
2073/2074,20.00,11.57,31.57,2017-11-14 [Closed]
2072/2073,34.00,19.68,53.68,2016-12-19 [Closed]
2071/2072,42.00,10.63,52.63,2015-12-20 [Closed]
2070/2071,46.5,23.5,70.00,2014-12-24 [Closed]
2069/2070,14.00,13.368,27.368,2013-12-31 [Closed]
2068/2069,5.00,26.58,31.58,2013-03-18 [Closed]
2067/2068,5.00,26.00,31.00,2012-02-09 [Closed]
