fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,"1,842.00","1,842.00",2025-10-28 [Closed]
2080/2081,0.00,"1,714.00","1,714.00",2024-10-14 [Closed]
2079/2080,,"1,580.00","1,580.00",2023-11-28 [Closed]
2078/2079,0.00,"1,215.00","1,215.00",2022-11-20 [Closed]
2077/2078,0.00,650.00,650.00,2021-10-11 [Closed]
2076/2077,0.00,100.00,100.00,2020-11-12 [Closed]
2075/2076,0.00,770.00,770.00,2019-10-09 [Closed]
2074/2075,0.00,700.00,700.00,
2073/2074,0.00,"1,270.00","1,270.00",2017-09-15 [Closed]
2072/2073,0.00,"1,020.00","1,020.00",2016-09-04 [Closed]
2071/2072,0.00,990.00,990.00,2015-09-13 [Closed]
2070/2071,0.00,860.00,860.00,2014-09-02 [Closed]
2069/2070,0.00,760.00,760.00,2013-09-16 [Closed]
2068/2069,0.00,680.00,680.00,2012-09-16 [Closed]
2066/2067,0.00,590.00,590.00,
