date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1855.0,1860.0,1835.0,1842.0,-0.7,320,589638.5
2026-02-11,1865.0,1865.0,1851.5,1855.0,0.22,512,950010.5
2026-02-10,1851.0,1861.0,1851.0,1851.0,-1.54,513,952035.5
2026-02-09,1876.0,1880.0,1850.0,1880.0,0.16,1550,2882183.4
2026-02-08,1870.1,1899.0,1849.0,1877.0,0.54,1386,2570572.4
2026-02-05,1885.0,1900.0,1858.0,1867.0,-0.53,620,1160356.0
2026-02-04,1860.0,1879.0,1850.0,1877.0,0.91,625,1160532.2
2026-02-03,1870.0,1870.0,1844.4,1860.0,-1.17,1076,1998363.7
2026-02-02,1919.0,1919.0,1881.0,1882.0,0.03,603,1136150.3
2026-02-01,1876.0,1887.0,1876.0,1881.4,-0.98,169,318060.7
2026-01-29,1883.0,1924.0,1883.0,1900.1,-0.62,771,1465700.8
2026-01-28,1920.1,1922.0,1892.1,1912.0,-0.42,201,384164.0
2026-01-27,1935.0,1950.0,1920.0,1920.0,-1.99,1566,3027809.9
2026-01-26,1950.0,1977.0,1920.0,1959.0,0.1,626,1219477.0
2026-01-25,1930.0,1957.0,1920.0,1957.0,1.98,1085,2095524.0
2026-01-22,1867.0,1920.0,1867.0,1919.0,0.87,929,1761186.8
2026-01-21,1900.0,1920.0,1897.0,1902.4,-1.38,901,1711272.5
2026-01-20,1900.0,1938.0,1900.0,1929.0,1.53,450,864781.0
2026-01-18,1895.0,1932.0,1858.1,1900.0,2.26,1006,1909475.0
2026-01-14,1824.0,1860.4,1824.0,1858.0,0.98,299,551534.1
2026-01-13,1887.0,1924.0,1835.0,1840.0,-0.54,648,1199275.1
2026-01-12,1846.0,1855.1,1846.0,1850.0,-1.33,534,989664.0
2026-01-08,1888.0,1888.0,1853.0,1875.0,-0.69,1241,2321897.8
2026-01-07,1882.0,1918.0,1881.6,1888.0,-1.67,665,1256579.0
2026-01-06,1915.0,1923.0,1892.0,1920.0,0.26,360,684251.0
2026-01-05,1918.0,1918.0,1881.0,1915.0,-0.16,263,498720.5
2026-01-04,1889.0,1918.0,1871.0,1918.0,1.54,1429,2699674.7
2026-01-01,1888.1,1900.0,1888.0,1889.0,-1.56,274,518045.0
2025-12-31,1911.0,1930.0,1891.0,1919.0,-0.31,1652,3150150.0
2025-12-29,1890.0,1934.0,1890.0,1925.0,0.79,400,758955.0
2025-12-28,1880.0,1938.0,1880.0,1910.0,1.6,432,822859.5
2025-12-24,1880.0,1895.0,1880.0,1880.0,0.0,312,588196.4
2025-12-23,1906.0,1906.0,1875.0,1880.0,-1.36,607,1141316.5
2025-12-22,1910.0,1910.0,1875.2,1906.0,-0.21,845,1593013.0
2025-12-21,1921.0,1921.0,1897.0,1910.0,-0.62,274,520286.0
2025-12-18,1930.0,1940.0,1922.0,1922.0,-1.13,285,550717.0
2025-12-17,1925.0,1944.0,1925.0,1944.0,0.21,125,241235.0
2025-12-16,1910.0,1948.2,1910.0,1940.0,1.57,420,807801.0
2025-12-15,1935.0,1950.0,1910.0,1910.0,-3.19,620,1197884.5
2025-12-14,1975.0,1985.0,1940.0,1973.0,-0.1,1782,3464614.5
2025-12-11,1960.0,1975.0,1950.0,1975.0,0.25,365,720370.0
2025-12-10,1999.5,1999.5,1921.0,1970.0,-1.48,629,1216594.0
2025-12-09,1950.0,2000.0,1950.0,1999.5,1.6,730,1439732.0
2025-12-08,1925.7,1968.0,1900.0,1968.0,0.15,323,624320.5
2025-12-07,1950.0,1989.0,1912.0,1965.0,-1.21,579,1125168.7
2025-12-03,1995.0,1995.0,1983.1,1989.0,-0.8,294,583572.4
2025-12-02,1971.0,2009.0,1971.0,2005.0,0.4,50,99650.0
2025-12-01,1990.1,2019.0,1990.0,1997.0,-0.15,1700,3386605.6
2025-11-30,2010.0,2030.0,2000.0,2000.0,-0.6,1435,2884461.0
2025-11-27,2000.0,2025.0,1995.5,2012.0,0.1,1488,2982734.0
2025-11-26,2000.3,2025.0,1987.1,2010.0,0.25,865,1745844.0
2025-11-25,2000.0,2009.0,1975.0,2005.0,-0.2,578,1151699.2
2025-11-24,2019.0,2020.0,1980.0,2009.0,0.5,450,900384.0
2025-11-23,1930.0,1999.0,1930.0,1999.0,2.25,2045,4041964.7
2025-11-20,1959.0,1959.0,1882.0,1955.0,-0.2,827,1577288.2
2025-11-19,1974.0,2000.0,1892.0,1959.0,-0.76,2647,5079174.0
2025-11-18,1970.0,1975.0,1956.0,1974.0,0.71,539,1060274.5
2025-11-17,1983.0,1983.9,1950.0,1960.0,0.77,125,246341.5
2025-11-16,1915.0,1998.0,1915.0,1945.0,0.78,450,874511.0
2025-11-13,1905.1,1946.0,1905.1,1930.0,-0.01,334,646782.0
2025-11-12,1926.0,1935.0,1925.0,1930.1,-1.02,110,212197.0
2025-11-11,1921.0,1950.0,1898.0,1950.0,1.35,1062,2036275.0
2025-11-10,1950.0,1950.0,1924.0,1924.0,-1.33,330,637910.0
2025-11-09,1970.0,1970.0,1950.0,1950.0,-2.5,555,1086200.5
2025-11-06,1965.0,2003.0,1965.0,2000.0,-0.2,393,785520.0
2025-11-05,1985.0,2005.0,1980.1,2004.0,-0.45,295,584936.0
2025-11-04,1978.7,2013.0,1977.0,2013.0,-0.2,120,237777.0
2025-11-03,2020.0,2040.0,1960.0,2017.0,-1.13,1959,3887096.1
2025-11-02,2010.0,2040.0,2000.0,2040.0,1.49,1120,2256458.0
2025-10-30,1985.0,2010.0,1920.0,2010.0,3.16,942,1848521.0
2025-10-29,1989.0,2050.0,1910.3,1948.5,-1.54,2370,4693905.2
2025-10-28,1910.1,1983.0,1910.0,1979.0,4.05,1169,2287912.6
2025-10-26,1866.0,1902.0,1852.0,1902.0,0.11,685,1275673.0
2025-10-19,1857.3,1914.0,1818.4,1900.0,4.34,1216,2297227.4
2025-10-16,1928.0,1935.1,1821.0,1821.0,-7.33,1792,3368900.0
2025-10-15,1963.0,1979.8,1941.0,1965.0,-1.9,242,475078.0
2025-10-14,1981.1,2005.0,1945.3,2003.0,0.15,1356,2659154.8
2025-10-13,1980.0,2008.0,1980.0,2000.0,-0.45,298,595690.0
2025-10-12,1960.3,2029.0,1924.0,2009.0,0.45,1239,2417317.4
2025-10-09,2056.3,2097.0,1982.3,2000.0,-0.79,862,1736750.1
2025-10-08,2057.1,2060.0,2016.0,2016.0,-3.95,436,885896.1
2025-10-07,2228.0,2228.0,2058.1,2099.0,-5.79,3867,8263332.5
2025-09-28,2152.0,2232.9,2100.0,2228.0,1.5,1950,4145194.2
2025-09-25,2190.6,2198.0,2160.1,2195.0,-1.79,790,1708715.2
2025-09-24,2250.0,2306.0,2131.5,2235.0,0.68,720,1587917.3
2025-09-23,2094.0,2223.0,2062.3,2220.0,8.08,826,1773865.6
2025-09-21,1928.7,2119.0,1928.7,2054.12,4.38,5578,11213083.5
2025-09-18,1950.2,1968.0,1950.2,1968.0,-1.11,100,195269.2
2025-09-08,1976.3,2000.0,1976.3,1990.0,-0.55,620,1231510.5
2025-09-07,2006.0,2018.7,2000.0,2001.0,-1.46,1574,3154826.6
2025-09-04,2082.0,2083.6,2015.0,2030.69,-0.59,1649,3340319.0
2025-09-03,2071.72,2092.0,2039.5,2042.78,-1.4,1110,2277566.0
2025-09-02,2080.0,2110.0,2058.0,2071.72,-0.42,761,1587057.0
2025-09-01,2051.0,2206.0,2051.0,2080.36,-0.19,738,1538509.0
2025-08-31,2113.41,2155.6,2072.0,2084.4,-1.37,987,2064887.5
2025-08-28,2204.0,2204.0,2088.1,2113.41,-2.19,977,2076270.4
2025-08-27,2120.2,2219.0,2100.0,2160.79,1.91,1274,2737443.4
2025-08-26,2212.2,2212.2,2117.4,2120.2,-2.29,763,1630795.5
2025-08-25,2200.0,2203.0,2159.0,2170.0,0.46,1151,2516970.5
2025-08-24,2170.0,2175.2,2160.0,2160.1,-0.71,1443,3126629.3
2025-08-21,2180.0,2226.9,2171.0,2175.46,-0.24,1019,2231753.0
2025-08-20,2175.2,2200.2,2175.0,2180.64,-0.73,977,2135555.1
2025-08-19,2194.71,2320.0,2181.4,2196.72,0.09,455,1006959.5
2025-08-18,2150.0,2299.0,2116.0,2194.71,0.08,1416,3151314.7
2025-08-17,2235.2,2285.0,2183.0,2192.93,-3.66,2865,6345579.4
2025-08-14,2286.12,2286.12,2254.0,2276.22,-0.43,826,1871792.0
2025-08-13,2300.0,2333.0,2282.0,2286.12,-0.51,616,1413789.0
2025-08-12,2350.0,2350.0,2291.1,2297.85,-1.88,929,2142541.5
2025-08-11,2467.0,2467.0,2305.0,2341.8,-3.28,2712,6422499.5
