open,high,low,close,percent_change,turnover,date
317.67,317.67,317.67,317.67,-0.30,0.00,2011-03-20
314.79,314.79,314.79,314.79,-0.03,0.00,2011-03-25
314.85,314.85,314.85,314.85,0.02,0.00,2011-03-27
315.13,315.13,315.13,315.13,0.02,0.00,2011-03-28
313.82,313.82,313.82,313.82,-0.41,0.00,2011-03-29
313.02,313.02,313.02,313.02,-0.26,0.00,2011-03-30
313.33,313.33,313.33,313.33,0.09,0.00,2011-03-31
313.74,313.74,313.74,313.74,0.07,0.00,2011-04-04
313.74,313.74,313.74,313.74,0.00,0.00,2011-04-05
314.85,314.85,314.85,314.85,0.35,0.00,2011-04-06
314.52,314.52,314.52,314.52,-0.11,0.00,2011-04-07
312.48,312.48,312.48,312.48,-0.65,0.00,2011-04-10
311.33,311.33,311.33,311.33,-0.57,0.00,2011-04-11
309.46,309.46,309.46,309.46,-0.60,0.00,2011-04-13
309.83,309.83,309.83,309.83,0.12,0.00,2011-04-17
309.91,309.91,309.91,309.91,0.03,0.00,2011-04-18
310.95,310.95,310.95,310.95,0.34,0.00,2011-04-19
310.29,310.29,310.29,310.29,-0.20,0.00,2011-04-20
309.62,309.62,309.62,309.62,-0.22,0.00,2011-04-21
308.19,308.19,308.19,308.19,-0.33,0.00,2011-04-25
308.55,308.55,308.55,308.55,0.04,0.00,2011-04-26
308.00,308.00,308.00,308.00,-0.18,0.00,2011-04-27
307.40,307.40,307.40,307.40,-0.20,0.00,2011-04-28
307.63,307.63,307.63,307.63,0.07,0.00,2011-05-02
307.05,307.05,307.05,307.05,-0.18,0.00,2011-05-03
306.01,306.01,306.01,306.01,-0.34,0.00,2011-05-04
305.68,305.68,305.68,305.68,-0.13,0.00,2011-05-05
304.99,304.99,304.99,304.99,-0.23,0.00,2011-05-08
305.07,305.07,305.07,305.07,0.03,0.00,2011-05-09
304.53,304.53,304.53,304.53,-0.18,0.00,2011-05-10
302.84,302.84,302.84,302.84,-0.56,0.00,2011-05-11
301.90,301.90,301.90,301.90,-0.31,0.00,2011-05-12
301.91,301.91,301.91,301.91,0.00,0.00,2011-05-15
302.27,302.27,302.27,302.27,0.14,0.00,2011-05-16
302.90,302.90,302.90,302.90,0.21,0.00,2011-05-18
302.36,302.36,302.36,302.36,-0.18,0.00,2011-05-19
302.23,302.23,302.23,302.23,-0.04,0.00,2011-05-22
301.74,301.74,301.74,301.74,-0.16,0.00,2011-05-23
