open,high,low,close,percent_change,turnover,date
32.00,32.00,32.00,32.00,-0.25,0.00,2011-03-25
31.00,31.00,31.00,31.00,-1.31,0.00,2011-03-27
30.00,30.00,30.00,30.00,-1.69,0.00,2011-03-28
30.00,30.00,30.00,30.00,-1.52,0.00,2011-03-29
30.00,30.00,30.00,30.00,-0.31,0.00,2011-03-30
31.00,31.00,31.00,31.00,1.73,0.00,2011-03-31
31.00,31.00,31.00,31.00,-0.05,0.00,2011-04-04
30.00,30.00,30.00,30.00,-0.35,0.00,2011-04-05
30.00,30.00,30.00,30.00,-0.07,0.00,2011-04-06
30.00,30.00,30.00,30.00,0.26,0.00,2011-04-07
31.00,31.00,31.00,31.00,0.24,0.00,2011-04-10
31.00,31.00,31.00,31.00,-0.22,0.00,2011-04-11
31.00,31.00,31.00,31.00,1.78,0.00,2011-04-13
30.00,30.00,30.00,30.00,-1.88,0.00,2011-04-17
30.00,30.00,30.00,30.00,-0.60,0.00,2011-04-18
30.00,30.00,30.00,30.00,-0.33,0.00,2011-04-19
30.00,30.00,30.00,30.00,-0.64,0.00,2011-04-20
30.00,30.00,30.00,30.00,-0.59,0.00,2011-04-21
30.00,30.00,30.00,30.00,-0.52,0.00,2011-04-25
30.00,30.00,30.00,30.00,-0.19,0.00,2011-04-26
29.00,29.00,29.00,29.00,-0.41,0.00,2011-04-27
29.00,29.00,29.00,29.00,-0.67,0.00,2011-04-28
29.00,29.00,29.00,29.00,-0.78,0.00,2011-05-02
29.00,29.00,29.00,29.00,-0.97,0.00,2011-05-03
29.00,29.00,29.00,29.00,-0.59,0.00,2011-05-04
29.00,29.00,29.00,29.00,0.39,0.00,2011-05-05
29.00,29.00,29.00,29.00,0.11,0.00,2011-05-08
29.00,29.00,29.00,29.00,-0.06,0.00,2011-05-09
29.00,29.00,29.00,29.00,1.14,0.00,2011-05-10
29.00,29.00,29.00,29.00,-0.01,0.00,2011-05-11
29.00,29.00,29.00,29.00,0.30,0.00,2011-05-12
29.00,29.00,29.00,29.00,1.09,0.00,2011-05-15
30.00,30.00,30.00,30.00,0.52,0.00,2011-05-16
29.00,29.00,29.00,29.00,-1.15,0.00,2011-05-18
29.00,29.00,29.00,29.00,-0.43,0.00,2011-05-19
29.00,29.00,29.00,29.00,-0.31,0.00,2011-05-22
29.00,29.00,29.00,29.00,-0.27,0.00,2011-05-23
29.00,29.00,29.00,29.00,0.17,0.00,2011-05-24
29.00,29.00,29.00,29.00,0.34,0.00,2011-05-25
29.00,29.00,29.00,29.00,0.19,0.00,2011-05-26
29.00,29.00,29.00,29.00,0.06,0.00,2011-05-30
29.00,29.00,29.00,29.00,-1.86,0.00,2011-05-31
29.00,29.00,29.00,29.00,-0.40,0.00,2011-06-01
28.00,28.00,28.00,28.00,-0.85,0.00,2011-06-02
27.00,27.00,27.00,27.00,-1.35,0.00,2011-06-06
27.00,27.00,27.00,27.00,-1.83,0.00,2011-06-07
26.00,26.00,26.00,26.00,-1.83,0.00,2011-06-08
26.00,26.00,26.00,26.00,-1.30,0.00,2011-06-09
26.00,26.00,26.00,26.00,-1.58,0.00,2011-06-12
25.00,25.00,25.00,25.00,-1.48,0.00,2011-06-13
25.00,25.00,25.00,25.00,-1.83,0.00,2011-06-14
24.00,24.00,24.00,24.00,-2.28,0.00,2011-06-15
26.00,26.00,26.00,26.00,2.00,0.00,2011-06-16
28.00,28.00,28.00,28.00,4.99,0.00,2011-06-20
31.00,31.00,31.00,31.00,5.80,0.00,2011-06-23
29.00,29.00,29.00,29.00,-4.26,0.00,2011-06-26
28.00,28.00,28.00,28.00,-5.18,0.00,2011-06-27
28.00,28.00,28.00,28.00,0.63,0.00,2011-06-29
28.00,28.00,28.00,28.00,-0.28,0.00,2011-06-30
28.00,28.00,28.00,28.00,-0.72,0.00,2011-07-03
28.00,28.00,28.00,28.00,0.48,0.00,2011-07-04
28.00,28.00,28.00,28.00,1.88,0.00,2011-07-05
29.00,29.00,29.00,29.00,1.46,0.00,2011-07-06
29.00,29.00,29.00,29.00,-0.48,0.00,2011-07-07
29.00,29.00,29.00,29.00,1.22,0.00,2011-07-10
29.00,29.00,29.00,29.00,0.50,0.00,2011-07-11
30.00,30.00,30.00,30.00,1.23,0.00,2011-07-12
30.00,30.00,30.00,30.00,1.66,0.00,2011-07-13
31.00,31.00,31.00,31.00,1.80,0.00,2011-07-14
32.00,32.00,32.00,32.00,4.71,0.00,2011-07-17
31.00,31.00,31.00,31.00,-2.03,0.00,2011-07-18
32.00,32.00,32.00,32.00,1.08,0.00,2011-07-19
32.00,32.00,32.00,32.00,1.06,0.00,2011-07-20
32.00,32.00,32.00,32.00,-0.56,0.00,2011-07-21
31.00,31.00,31.00,31.00,-2.83,0.00,2011-07-24
31.00,31.00,31.00,31.00,-1.72,0.00,2011-07-25
30.00,30.00,30.00,30.00,-0.99,0.00,2011-07-26
31.00,31.00,31.00,31.00,1.91,0.00,2011-07-27
31.00,31.00,31.00,31.00,-0.28,0.00,2011-07-28
30.00,30.00,30.00,30.00,-1.29,0.00,2011-07-31
30.00,30.00,30.00,30.00,-0.26,0.00,2011-08-01
30.00,30.00,30.00,30.00,0.20,0.00,2011-08-02
30.00,30.00,30.00,30.00,-0.64,0.00,2011-08-03
30.00,30.00,30.00,30.00,0.14,0.00,2011-08-04
30.00,30.00,30.00,30.00,-0.55,0.00,2011-08-07
30.00,30.00,30.00,30.00,-0.78,0.00,2011-08-08
29.00,29.00,29.00,29.00,-1.62,0.00,2011-08-09
30.00,30.00,30.00,30.00,1.71,0.00,2011-08-10
30.00,30.00,30.00,30.00,0.43,0.00,2011-08-11
30.00,30.00,30.00,30.00,0.24,0.00,2011-08-15
30.00,30.00,30.00,30.00,-0.11,0.00,2011-08-16
30.00,30.00,30.00,30.00,-0.57,0.00,2011-08-17
30.00,30.00,30.00,30.00,0.42,0.00,2011-08-18
30.00,30.00,30.00,30.00,-0.79,0.00,2011-08-22
30.00,30.00,30.00,30.00,-0.10,0.00,2011-08-23
30.00,30.00,30.00,30.00,-0.54,0.00,2011-08-24
29.00,29.00,29.00,29.00,-0.56,0.00,2011-08-25
28.00,28.00,28.00,28.00,-2.97,0.00,2011-08-28
28.00,28.00,28.00,28.00,-0.32,0.00,2011-08-29
29.00,29.00,29.00,29.00,0.76,0.00,2011-08-30
29.00,29.00,29.00,29.00,0.13,0.00,2011-09-01
29.00,29.00,29.00,29.00,-0.30,0.00,2011-09-04
28.00,28.00,28.00,28.00,-1.18,0.00,2011-09-05
28.00,28.00,28.00,28.00,-1.37,0.00,2011-09-06
28.00,28.00,28.00,28.00,-0.25,0.00,2011-09-07
28.00,28.00,28.00,28.00,-0.73,0.00,2011-09-08
27.00,27.00,27.00,27.00,-0.82,0.00,2011-09-12
27.00,27.00,27.00,27.00,-0.19,0.00,2011-09-13
26.00,26.00,26.00,26.00,-3.26,0.00,2011-09-14
27.00,27.00,27.00,27.00,0.58,0.00,2011-09-15
26.00,26.00,26.00,26.00,-0.93,0.00,2011-09-18
26.00,26.00,26.00,26.00,-0.22,0.00,2011-09-19
26.00,26.00,26.00,26.00,0.67,0.00,2011-09-20
27.00,27.00,27.00,27.00,0.78,0.00,2011-09-21
27.00,27.00,27.00,27.00,1.97,0.00,2011-09-22
27.00,27.00,27.00,27.00,0.62,0.00,2011-09-25
27.00,27.00,27.00,27.00,-0.36,0.00,2011-09-26
27.00,27.00,27.00,27.00,0.19,0.00,2011-09-27
27.00,27.00,27.00,27.00,0.11,0.00,2011-09-29
27.00,27.00,27.00,27.00,0.51,0.00,2011-10-02
27.00,27.00,27.00,27.00,0.02,0.00,2011-10-09
27.00,27.00,27.00,27.00,0.37,0.00,2011-10-10
28.00,28.00,28.00,28.00,0.29,0.00,2011-10-12
28.00,28.00,28.00,28.00,-0.13,0.00,2011-10-13
27.00,27.00,27.00,27.00,-0.65,0.00,2011-10-16
27.00,27.00,27.00,27.00,-0.37,0.00,2011-10-17
27.00,27.00,27.00,27.00,-0.51,0.00,2011-10-18
27.00,27.00,27.00,27.00,0.26,0.00,2011-10-19
27.00,27.00,27.00,27.00,-0.51,0.00,2011-10-20
27.00,27.00,27.00,27.00,-0.50,0.00,2011-10-23
27.00,27.00,27.00,27.00,0.06,0.00,2011-10-24
27.00,27.00,27.00,27.00,0.13,0.00,2011-10-25
27.00,27.00,27.00,27.00,-0.81,0.00,2011-10-30
27.00,27.00,27.00,27.00,0.83,0.00,2011-10-31
28.00,28.00,28.00,28.00,5.37,0.00,2011-11-02
28.00,28.00,28.00,28.00,-1.49,0.00,2011-11-03
28.00,28.00,28.00,28.00,-1.25,0.00,2011-11-06
27.00,27.00,27.00,27.00,-1.00,0.00,2011-11-08
27.00,27.00,27.00,27.00,-0.99,0.00,2011-11-09
27.00,27.00,27.00,27.00,0.05,0.00,2011-11-10
27.00,27.00,27.00,27.00,-0.62,0.00,2011-11-13
27.00,27.00,27.00,27.00,-0.59,0.00,2011-11-14
26.00,26.00,26.00,26.00,-0.54,0.00,2011-11-15
26.00,26.00,26.00,26.00,-0.56,0.00,2011-11-16
27.00,27.00,27.00,27.00,0.84,0.00,2011-11-17
26.00,26.00,26.00,26.00,-0.12,0.00,2011-11-20
26.00,26.00,26.00,26.00,0.18,0.00,2011-11-21
26.00,26.00,26.00,26.00,-0.47,0.00,2011-11-22
26.00,26.00,26.00,26.00,-0.39,0.00,2011-11-23
26.00,26.00,26.00,26.00,-0.39,0.00,2011-11-24
26.00,26.00,26.00,26.00,0.14,0.00,2011-11-27
26.00,26.00,26.00,26.00,0.02,0.00,2011-12-01
26.00,26.00,26.00,26.00,-0.25,0.00,2011-12-04
26.00,26.00,26.00,26.00,-0.14,0.00,2011-12-05
26.00,26.00,26.00,26.00,0.02,0.00,2011-12-06
26.00,26.00,26.00,26.00,-0.38,0.00,2011-12-07
26.00,26.00,26.00,26.00,-0.18,0.00,2011-12-08
25.00,25.00,25.00,25.00,-1.19,0.00,2011-12-11
25.00,25.00,25.00,25.00,-1.14,0.00,2011-12-12
25.00,25.00,25.00,25.00,-0.25,0.00,2011-12-13
25.00,25.00,25.00,25.00,1.17,0.00,2011-12-14
25.00,25.00,25.00,25.00,-0.56,0.00,2011-12-15
25.00,25.00,25.00,25.00,-0.73,0.00,2011-12-18
25.00,25.00,25.00,25.00,-0.13,0.00,2011-12-19
25.00,25.00,25.00,25.00,0.18,0.00,2011-12-20
25.00,25.00,25.00,25.00,-0.12,0.00,2011-12-21
25.00,25.00,25.00,25.00,-0.17,0.00,2011-12-22
25.00,25.00,25.00,25.00,-0.11,0.00,2011-12-26
25.00,25.00,25.00,25.00,0.67,0.00,2011-12-27
25.00,25.00,25.00,25.00,0.05,0.00,2011-12-28
25.00,25.00,25.00,25.00,0.83,0.00,2011-12-29
26.00,26.00,26.00,26.00,0.96,0.00,2012-01-01
26.00,26.00,26.00,26.00,1.47,0.00,2012-01-02
26.00,26.00,26.00,26.00,-0.04,0.00,2012-01-03
25.00,25.00,25.00,25.00,-1.48,0.00,2012-01-04
25.00,25.00,25.00,25.00,-0.22,0.00,2012-01-05
25.00,25.00,25.00,25.00,-0.59,0.00,2012-01-08
25.00,25.00,25.00,25.00,0.14,0.00,2012-01-09
26.00,26.00,26.00,26.00,0.62,0.00,2012-01-11
26.00,26.00,26.00,26.00,0.76,0.00,2012-01-12
25.00,25.00,25.00,25.00,-0.72,0.00,2012-01-16
25.00,25.00,25.00,25.00,-0.16,0.00,2012-01-17
25.00,25.00,25.00,25.00,-0.47,0.00,2012-01-18
25.00,25.00,25.00,25.00,0.42,0.00,2012-01-19
25.00,25.00,25.00,25.00,-0.69,0.00,2012-01-22
25.00,25.00,25.00,25.00,-1.04,0.00,2012-01-23
25.00,25.00,25.00,25.00,-0.10,0.00,2012-01-25
25.00,25.00,25.00,25.00,-0.30,0.00,2012-01-26
25.00,25.00,25.00,25.00,-0.07,0.00,2012-01-29
25.00,25.00,25.00,25.00,-0.21,0.00,2012-01-31
25.00,25.00,25.00,25.00,0.03,0.00,2012-02-01
25.00,25.00,25.00,25.00,-0.10,0.00,2012-02-02
25.00,25.00,25.00,25.00,-0.56,0.00,2012-02-05
25.00,25.00,25.00,25.00,-0.16,0.00,2012-02-06
25.00,25.00,25.00,25.00,-0.20,0.00,2012-02-07
25.00,25.00,25.00,25.00,-0.14,0.00,2012-02-08
25.00,25.00,25.00,25.00,-0.10,0.00,2012-02-09
25.00,25.00,25.00,25.00,0.00,0.00,2012-02-12
25.00,25.00,25.00,25.00,0.47,0.00,2012-02-13
25.00,25.00,25.00,25.00,-0.45,0.00,2012-02-14
25.00,25.00,25.00,25.00,-0.05,0.00,2012-02-15
25.00,25.00,25.00,25.00,-0.13,0.00,2012-02-17
