open,high,low,close,percent_change,turnover,date
655.88,655.88,655.88,655.88,0.10,0.00,2011-03-20
655.25,655.25,655.25,655.25,0.00,0.00,2011-03-25
660.63,660.63,660.63,660.63,0.82,0.00,2011-03-27
668.62,668.62,668.62,668.62,1.21,0.00,2011-03-28
670.35,670.35,670.35,670.35,0.26,0.00,2011-03-29
668.36,668.36,668.36,668.36,-0.30,0.00,2011-03-30
673.19,673.19,673.19,673.19,0.53,0.00,2011-03-31
672.93,672.93,672.93,672.93,-0.16,0.00,2011-04-04
676.91,676.91,676.91,676.91,0.59,0.00,2011-04-05
676.51,676.51,676.51,676.51,-0.06,0.00,2011-04-06
676.63,676.63,676.63,676.63,0.02,0.00,2011-04-07
700.20,700.20,700.20,700.20,3.48,0.00,2011-04-10
714.02,714.02,714.02,714.02,2.26,0.00,2011-04-11
731.71,731.71,731.71,731.71,2.48,0.00,2011-04-13
727.21,727.21,727.21,727.21,-0.44,0.00,2011-04-17
725.04,725.04,725.04,725.04,-0.61,0.00,2011-04-18
724.08,724.08,724.08,724.08,-0.13,0.00,2011-04-19
726.36,726.36,726.36,726.36,-0.08,0.00,2011-04-20
726.36,726.36,726.36,726.36,0.00,0.00,2011-04-21
726.64,726.64,726.64,726.64,0.11,0.00,2011-04-25
727.22,727.22,727.22,727.22,0.08,0.00,2011-04-26
723.23,723.23,723.23,723.23,-0.55,0.00,2011-04-27
717.33,717.33,717.33,717.33,-0.77,0.00,2011-04-28
716.97,716.97,716.97,716.97,-0.05,0.00,2011-05-02
716.53,716.53,716.53,716.53,-0.16,0.00,2011-05-03
719.16,719.16,719.16,719.16,0.37,0.00,2011-05-04
716.86,716.86,716.86,716.86,-0.05,0.00,2011-05-05
717.71,717.71,717.71,717.71,0.12,0.00,2011-05-08
716.88,716.88,716.88,716.88,-0.11,0.00,2011-05-09
715.01,715.01,715.01,715.01,-0.26,0.00,2011-05-10
718.76,718.76,718.76,718.76,0.52,0.00,2011-05-11
