open,high,low,close,percent_change,turnover,date
467.43,467.43,467.43,467.43,0.31,0.00,2011-03-20
464.59,464.59,464.59,464.59,-0.40,0.00,2011-03-25
464.37,464.37,464.37,464.37,-0.02,0.00,2011-03-27
460.73,460.73,460.73,460.73,-0.25,0.00,2011-03-28
460.73,460.73,460.73,460.73,0.00,0.00,2011-03-29
456.09,456.09,456.09,456.09,-0.72,0.00,2011-03-30
459.80,459.80,459.80,459.80,0.81,0.00,2011-03-31
458.68,458.68,458.68,458.68,-0.07,0.00,2011-04-04
456.72,456.72,456.72,456.72,-0.43,0.00,2011-04-05
455.35,455.35,455.35,455.35,-0.30,0.00,2011-04-06
455.32,455.32,455.32,455.32,-0.04,0.00,2011-04-07
454.29,454.29,454.29,454.29,-0.23,0.00,2011-04-10
452.29,452.29,452.29,452.29,-0.44,0.00,2011-04-11
450.69,450.69,450.69,450.69,-0.35,0.00,2011-04-13
452.65,452.65,452.65,452.65,0.44,0.00,2011-04-17
450.32,450.32,450.32,450.32,-0.51,0.00,2011-04-18
450.07,450.07,450.07,450.07,-0.06,0.00,2011-04-19
445.36,445.36,445.36,445.36,-0.77,0.00,2011-04-20
443.51,443.51,443.51,443.51,-0.45,0.00,2011-04-21
442.94,442.94,442.94,442.94,-0.36,0.00,2011-04-25
443.28,443.28,443.28,443.28,0.08,0.00,2011-04-26
442.68,442.68,442.68,442.68,-0.14,0.00,2011-04-27
442.52,442.52,442.52,442.52,-0.04,0.00,2011-04-28
430.34,430.34,430.34,430.34,-2.75,0.00,2011-05-02
426.83,426.83,426.83,426.83,-0.82,0.00,2011-05-03
428.29,428.29,428.29,428.29,0.34,0.00,2011-05-04
427.44,427.44,427.44,427.44,-0.16,0.00,2011-05-05
428.18,428.18,428.18,428.18,0.17,0.00,2011-05-08
428.12,428.12,428.12,428.12,-0.02,0.00,2011-05-09
425.77,425.77,425.77,425.77,-0.55,0.00,2011-05-10
427.25,427.25,427.25,427.25,0.35,0.00,2011-05-11
424.71,424.71,424.71,424.71,-0.60,0.00,2011-05-12
425.87,425.87,425.87,425.87,0.27,0.00,2011-05-15
427.37,427.37,427.37,427.37,0.32,0.00,2011-05-16
425.43,425.43,425.43,425.43,-0.45,0.00,2011-05-18
422.84,422.84,422.84,422.84,-0.72,0.00,2011-05-19
421.03,421.03,421.03,421.03,-0.43,0.00,2011-05-22
420.92,420.92,420.92,420.92,-0.03,0.00,2011-05-23
421.17,421.17,421.17,421.17,0.06,0.00,2011-05-24
420.59,420.59,420.59,420.59,-0.14,0.00,2011-05-25
421.92,421.92,421.92,421.92,0.32,0.00,2011-05-26
418.68,418.68,418.68,418.68,-0.77,0.00,2011-05-30
419.12,419.12,419.12,419.12,0.10,0.00,2011-05-31
419.06,419.06,419.06,419.06,-0.08,0.00,2011-06-01
419.36,419.36,419.36,419.36,0.07,0.00,2011-06-02
420.20,420.20,420.20,420.20,0.20,0.00,2011-06-05
419.07,419.07,419.07,419.07,-0.27,0.00,2011-06-06
416.31,416.31,416.31,416.31,-0.66,0.00,2011-06-07
411.29,411.29,411.29,411.29,-1.20,0.00,2011-06-08
412.27,412.27,412.27,412.27,0.24,0.00,2011-06-09
410.64,410.64,410.64,410.64,-0.39,0.00,2011-06-12
406.34,406.34,406.34,406.34,-1.05,0.00,2011-06-13
404.06,404.06,404.06,404.06,-0.56,0.00,2011-06-14
397.95,397.95,397.95,397.95,-1.51,0.00,2011-06-15
400.63,400.63,400.63,400.63,0.67,0.00,2011-06-16
409.59,409.59,409.59,409.59,1.70,0.00,2011-06-20
415.63,415.63,415.63,415.63,1.47,0.00,2011-06-21
428.22,428.22,428.22,428.22,3.03,0.00,2011-06-23
432.44,432.44,432.44,432.44,0.60,0.00,2011-06-26
434.33,434.33,434.33,434.33,0.32,0.00,2011-06-27
430.38,430.38,430.38,430.38,-0.91,0.00,2011-06-29
426.18,426.18,426.18,426.18,-0.98,0.00,2011-06-30
419.78,419.78,419.78,419.78,-1.50,0.00,2011-07-03
414.34,414.34,414.34,414.34,-1.29,0.00,2011-07-04
412.32,412.32,412.32,412.32,-0.49,0.00,2011-07-05
411.15,411.15,411.15,411.15,-0.28,0.00,2011-07-06
410.18,410.18,410.18,410.18,-0.24,0.00,2011-07-07
409.69,409.69,409.69,409.69,-0.12,0.00,2011-07-10
410.73,410.73,410.73,410.73,-0.49,0.00,2011-07-11
409.78,409.78,409.78,409.78,-0.23,0.00,2011-07-12
407.62,407.62,407.62,407.62,-0.53,0.00,2011-07-13
407.01,407.01,407.01,407.01,-0.15,0.00,2011-07-14
410.20,410.20,410.20,410.20,0.78,0.00,2011-07-17
411.31,411.31,411.31,411.31,0.27,0.00,2011-07-18
409.68,409.68,409.68,409.68,-0.40,0.00,2011-07-19
417.34,417.34,417.34,417.34,1.87,0.00,2011-07-20
415.77,415.77,415.77,415.77,-0.38,0.00,2011-07-21
415.81,415.81,415.81,415.81,0.01,0.00,2011-07-24
414.28,414.28,414.28,414.28,-0.37,0.00,2011-07-25
411.81,411.81,411.81,411.81,-0.60,0.00,2011-07-26
409.31,409.31,409.31,409.31,-0.61,0.00,2011-07-27
408.75,408.75,408.75,408.75,-0.14,0.00,2011-07-28
410.15,410.15,410.15,410.15,-0.08,0.00,2011-07-31
410.93,410.93,410.93,410.93,0.19,0.00,2011-08-01
419.40,419.40,419.40,419.40,2.02,0.00,2011-08-02
420.23,420.23,420.23,420.23,0.20,0.00,2011-08-03
420.50,420.50,420.50,420.50,0.18,0.00,2011-08-04
419.67,419.67,419.67,419.67,-0.20,0.00,2011-08-07
418.62,418.62,418.62,418.62,-0.25,0.00,2011-08-08
419.99,419.99,419.99,419.99,0.33,0.00,2011-08-09
421.39,421.39,421.39,421.39,0.33,0.00,2011-08-10
420.15,420.15,420.15,420.15,-0.29,0.00,2011-08-11
420.38,420.38,420.38,420.38,0.05,0.00,2011-08-15
421.60,421.60,421.60,421.60,0.29,0.00,2011-08-16
421.23,421.23,421.23,421.23,-0.09,0.00,2011-08-17
422.26,422.26,422.26,422.26,0.25,0.00,2011-08-18
419.48,419.48,419.48,419.48,-0.66,0.00,2011-08-22
417.45,417.45,417.45,417.45,-0.48,0.00,2011-08-23
417.70,417.70,417.70,417.70,0.06,0.00,2011-08-24
418.25,418.25,418.25,418.25,0.13,0.00,2011-08-25
415.12,415.12,415.12,415.12,-0.75,0.00,2011-08-28
412.64,412.64,412.64,412.64,-0.60,0.00,2011-08-29
409.53,409.53,409.53,409.53,-0.75,0.00,2011-08-30
411.48,411.48,411.48,411.48,0.48,0.00,2011-09-01
410.54,410.54,410.54,410.54,-0.23,0.00,2011-09-04
409.55,409.55,409.55,409.55,-0.24,0.00,2011-09-05
407.08,407.08,407.08,407.08,-0.60,0.00,2011-09-06
405.79,405.79,405.79,405.79,-0.32,0.00,2011-09-07
408.73,408.73,408.73,408.73,0.72,0.00,2011-09-08
406.46,406.46,406.46,406.46,-0.69,0.00,2011-09-12
404.55,404.55,404.55,404.55,-0.47,0.00,2011-09-13
404.64,404.64,404.64,404.64,0.02,0.00,2011-09-14
401.80,401.80,401.80,401.80,-0.70,0.00,2011-09-15
399.73,399.73,399.73,399.73,-0.43,0.00,2011-09-18
399.00,399.00,399.00,399.00,-0.18,0.00,2011-09-19
398.73,398.73,398.73,398.73,-0.07,0.00,2011-09-20
400.87,400.87,400.87,400.87,0.45,0.00,2011-09-21
402.03,402.03,402.03,402.03,0.29,0.00,2011-09-22
403.67,403.67,403.67,403.67,0.33,0.00,2011-09-25
404.87,404.87,404.87,404.87,0.30,0.00,2011-09-26
404.24,404.24,404.24,404.24,-0.16,0.00,2011-09-27
408.05,408.05,408.05,408.05,0.94,0.00,2011-09-29
405.44,405.44,405.44,405.44,-0.64,0.00,2011-10-02
405.44,405.44,405.44,405.44,0.00,0.00,2011-10-09
406.29,406.29,406.29,406.29,0.21,0.00,2011-10-10
403.53,403.53,403.53,403.53,-0.68,0.00,2011-10-12
