open,high,low,close,percent_change,turnover,date
526.13,526.13,526.13,526.13,0.00,0.00,2011-03-20
518.88,518.88,518.88,518.88,-1.19,0.00,2011-03-28
512.81,512.81,512.81,512.81,-1.17,0.00,2011-03-29
506.84,506.84,506.84,506.84,-1.16,0.00,2011-04-04
499.16,499.16,499.16,499.16,-0.52,0.00,2011-04-18
500.59,500.59,500.59,500.59,0.29,0.00,2011-04-19
507.83,507.83,507.83,507.83,0.30,0.00,2011-04-26
509.88,509.88,509.88,509.88,0.40,0.00,2011-04-27
498.46,498.46,498.46,498.46,-1.13,0.00,2011-05-31
490.54,490.54,490.54,490.54,-0.48,0.00,2011-06-08
486.84,486.84,486.84,486.84,-0.75,0.00,2011-06-09
486.65,486.65,486.65,486.65,0.70,0.00,2011-06-12
488.41,488.41,488.41,488.41,0.36,0.00,2011-06-13
485.03,485.03,485.03,485.03,-0.69,0.00,2011-06-14
496.13,496.13,496.13,496.13,2.29,0.00,2011-06-15
501.79,501.79,501.79,501.79,1.14,0.00,2011-06-16
516.14,516.14,516.14,516.14,1.86,0.00,2011-06-20
518.23,518.23,518.23,518.23,0.41,0.00,2011-06-21
526.03,526.03,526.03,526.03,1.51,0.00,2011-06-23
536.90,536.90,536.90,536.90,2.07,0.00,2011-06-26
544.70,544.70,544.70,544.70,1.45,0.00,2011-06-27
557.23,557.23,557.23,557.23,2.30,0.00,2011-06-29
577.98,577.98,577.98,577.98,1.23,0.00,2011-07-03
580.17,580.17,580.17,580.17,0.38,0.00,2011-07-04
574.70,574.70,574.70,574.70,0.62,0.00,2011-07-05
574.45,574.45,574.45,574.45,-0.04,0.00,2011-07-06
569.52,569.52,569.52,569.52,-0.86,0.00,2011-07-07
572.82,572.82,572.82,572.82,0.58,0.00,2011-07-10
607.23,607.23,607.23,607.23,3.54,0.00,2011-07-11
603.16,603.16,603.16,603.16,-0.67,0.00,2011-07-13
591.52,591.52,591.52,591.52,-1.93,0.00,2011-07-14
587.34,587.34,587.34,587.34,-0.71,0.00,2011-07-17
587.23,587.23,587.23,587.23,-0.02,0.00,2011-08-04
587.23,587.23,587.23,587.23,0.00,0.00,2011-08-16
587.23,587.23,587.23,587.23,0.00,0.00,2011-08-30
592.16,592.16,592.16,592.16,0.84,0.00,2011-09-07
607.58,607.58,607.58,607.58,0.87,0.00,2011-09-08
607.47,607.47,607.47,607.47,-0.89,0.00,2011-09-19
607.47,607.47,607.47,607.47,0.00,0.00,2011-10-24
607.47,607.47,607.47,607.47,0.00,0.00,2011-10-25
607.02,607.02,607.02,607.02,-0.07,0.00,2011-10-30
607.25,607.25,607.25,607.25,0.04,0.00,2011-10-31
607.48,607.48,607.48,607.48,0.00,0.00,2011-11-03
607.02,607.02,607.02,607.02,-0.08,0.00,2011-11-08
607.48,607.48,607.48,607.48,0.00,0.00,2011-11-10
634.31,634.31,634.31,634.31,4.42,0.00,2011-11-13
634.31,634.31,634.31,634.31,0.00,0.00,2011-11-16
634.31,634.31,634.31,634.31,0.00,0.00,2011-11-17
640.18,640.18,640.18,640.18,0.92,0.00,2011-11-20
640.18,640.18,640.18,640.18,0.00,0.00,2011-11-21
646.19,646.19,646.19,646.19,0.94,0.00,2011-11-22
646.94,646.94,646.94,646.94,0.15,0.00,2011-12-07
646.94,646.94,646.94,646.94,0.00,0.00,2011-12-11
653.07,653.07,653.07,653.07,0.95,0.00,2011-12-13
653.07,653.07,653.07,653.07,0.00,0.00,2011-12-14
653.07,653.07,653.07,653.07,0.00,0.00,2011-12-18
659.04,659.04,659.04,659.04,0.91,0.00,2011-12-27
659.04,659.04,659.04,659.04,-0.96,0.00,2012-01-03
665.42,665.42,665.42,665.42,0.97,0.00,2012-01-04
658.93,658.93,658.93,658.93,-0.98,0.00,2012-01-05
658.87,658.87,658.87,658.87,-0.01,0.00,2012-01-08
665.15,665.15,665.15,665.15,0.95,0.00,2012-01-12
664.92,664.92,664.92,664.92,-0.03,0.00,2012-02-07
633.79,633.79,633.79,633.79,-4.68,0.00,2012-02-08
636.02,636.02,636.02,636.02,0.35,0.00,2012-02-12
618.74,618.74,618.74,618.74,-0.91,0.00,2012-02-14
646.60,646.60,646.60,646.60,4.50,0.00,2012-02-26
657.14,657.14,657.14,657.14,1.63,0.00,2012-02-28
657.14,657.14,657.14,657.14,0.00,0.00,2012-02-29
656.15,656.15,656.15,656.15,0.00,0.00,2012-03-11
656.15,656.15,656.15,656.15,0.00,0.00,2012-03-12
656.15,656.15,656.15,656.15,0.00,0.00,2012-03-18
666.53,666.53,666.53,666.53,1.58,0.00,2012-03-19
666.53,666.53,666.53,666.53,0.00,0.00,2012-03-20
652.62,652.62,652.62,652.62,-2.09,0.00,2012-03-26
658.75,658.75,658.75,658.75,0.94,0.00,2012-04-03
653.56,653.56,653.56,653.56,-0.78,0.00,2012-04-05
656.15,656.15,656.15,656.15,0.40,0.00,2012-04-08
656.15,656.15,656.15,656.15,0.00,0.00,2012-04-12
662.48,662.48,662.48,662.48,0.96,0.00,2012-04-19
667.05,667.05,667.05,667.05,0.69,0.00,2012-04-29
667.28,667.28,667.28,667.28,0.03,0.00,2012-04-30
667.28,667.28,667.28,667.28,0.00,0.00,2012-05-16
673.82,673.82,673.82,673.82,0.98,0.00,2012-05-17
667.18,667.18,667.18,667.18,-0.99,0.00,2012-05-23
673.72,673.72,673.72,673.72,0.98,0.00,2012-05-27
667.07,667.07,667.07,667.07,-0.98,0.00,2012-05-29
666.76,666.76,666.76,666.76,-0.05,0.00,2012-06-05
666.76,666.76,666.76,666.76,0.00,0.00,2012-06-12
666.76,666.76,666.76,666.76,0.00,0.00,2012-06-13
666.76,666.76,666.76,666.76,0.00,0.00,2012-07-03
666.76,666.76,666.76,666.76,0.00,0.00,2012-07-08
673.30,673.30,673.30,673.30,0.98,0.00,2012-07-16
686.74,686.74,686.74,686.74,2.00,0.00,2012-07-17
682.33,682.33,682.33,682.33,-0.64,0.00,2012-07-24
689.00,689.00,689.00,689.00,1.01,0.00,2012-08-06
692.99,692.99,692.99,692.99,0.58,0.00,2012-08-07
707.21,707.21,707.21,707.21,2.05,0.00,2012-08-13
722.00,722.00,722.00,722.00,2.09,0.00,2012-08-16
728.80,728.80,728.80,728.80,0.94,0.00,2012-08-19
747.17,747.17,747.17,747.17,1.44,0.00,2012-08-27
754.49,754.49,754.49,754.49,0.97,0.00,2012-09-03
765.12,765.12,765.12,765.12,1.40,0.00,2012-09-04
769.27,769.27,769.27,769.27,0.54,0.00,2012-09-09
762.53,762.53,762.53,762.53,-0.88,0.00,2012-09-10
762.66,762.66,762.66,762.66,0.02,0.00,2012-09-11
745.90,745.90,745.90,745.90,-2.19,0.00,2012-09-16
738.04,738.04,738.04,738.04,-1.05,0.00,2012-09-18
730.10,730.10,730.10,730.10,-1.07,0.00,2012-09-20
729.12,729.12,729.12,729.12,-0.13,0.00,2012-10-02
721.33,721.33,721.33,721.33,-1.07,0.00,2012-10-10
728.96,728.96,728.96,728.96,1.05,0.00,2012-11-25
728.96,728.96,728.96,728.96,0.00,0.00,2012-12-02
738.06,738.06,738.06,738.06,1.06,0.00,2012-12-03
736.69,736.69,736.69,736.69,-0.19,0.00,2012-12-04
763.60,763.60,763.60,763.60,3.27,0.00,2012-12-06
763.60,763.60,763.60,763.60,0.00,0.00,2012-12-12
765.03,765.03,765.03,765.03,0.19,0.00,2012-12-13
808.55,808.55,808.55,808.55,5.49,0.00,2012-12-18
854.84,854.84,854.84,854.84,5.72,0.00,2012-12-19
868.59,868.59,868.59,868.59,1.60,0.00,2012-12-20
847.94,847.94,847.94,847.94,-2.38,0.00,2012-12-23
851.09,851.09,851.09,851.09,0.37,0.00,2012-12-27
866.92,866.92,866.92,866.92,1.86,0.00,2013-01-07
874.13,874.13,874.13,874.13,0.00,0.00,2013-01-15
870.51,870.51,870.51,870.51,-0.41,0.00,2013-01-20
870.30,870.30,870.30,870.30,1.18,0.00,2013-01-24
860.13,860.13,860.13,860.13,-1.17,0.00,2013-01-30
865.32,865.32,865.32,865.32,0.60,0.00,2013-02-03
855.04,855.04,855.04,855.04,-1.19,0.00,2013-02-04
854.58,854.58,854.58,854.58,-0.05,0.00,2013-02-05
