open,high,low,close,percent_change,turnover,date
9.92,9.92,9.92,9.92,0.81,1169600.00,2019-05-12
9.92,10.02,9.91,10.02,1.01,326230.00,2019-05-13
10.11,10.13,10.10,10.12,1.00,933407.00,2019-05-14
10.13,10.15,10.07,10.08,-0.40,2025380.00,2019-05-15
10.08,10.11,10.08,10.09,0.10,1322850.00,2019-05-16
10.09,10.12,10.07,10.12,0.00,1921820.00,2019-05-19
10.11,10.11,9.87,9.93,-1.88,1664870.00,2019-05-20
9.92,10.01,9.90,9.98,0.50,2614620.00,2019-05-21
9.98,9.98,9.76,9.78,-2.00,1125890.00,2019-05-22
9.77,9.82,9.77,9.80,0.20,824864.00,2019-05-23
9.80,9.82,9.77,9.78,-0.20,991917.00,2019-05-26
9.27,9.69,9.27,9.69,-0.92,1780660.00,2019-05-27
9.70,9.86,9.67,9.86,1.75,1071340.00,2019-05-28
9.85,9.90,9.82,9.90,-0.41,1462880.00,2019-05-29
9.90,10.05,9.90,9.97,0.71,3407150.00,2019-05-30
9.97,9.97,9.96,9.97,0.00,379114.00,2019-06-02
9.96,9.96,9.82,9.83,-1.40,1160210.00,2019-06-03
9.82,9.82,9.73,9.80,-0.31,1330830.00,2019-06-04
9.79,9.81,9.79,9.81,0.10,682552.00,2019-06-06
9.79,9.90,9.78,9.88,0.71,1239490.00,2019-06-10
9.88,9.92,9.88,9.88,0.00,371856.00,2019-06-11
9.90,9.90,9.73,9.73,-1.52,1083220.00,2019-06-12
9.73,9.74,9.73,9.73,0.00,206943.00,2019-06-13
9.71,9.71,9.69,9.69,-0.41,728894.00,2019-06-16
9.70,9.70,9.66,9.70,0.10,1252100.00,2019-06-17
9.69,9.71,9.61,9.62,-0.82,1489610.00,2019-06-18
9.63,9.63,9.59,9.59,-0.31,525326.00,2019-06-19
9.59,9.62,9.59,9.61,0.21,1083820.00,2019-06-20
9.62,9.69,9.62,9.64,0.31,479847.00,2019-06-23
9.64,9.64,9.60,9.61,-0.31,1133740.00,2019-06-24
9.61,9.61,9.59,9.60,-0.10,490906.00,2019-06-25
9.59,9.62,9.58,9.62,0.21,405248.00,2019-06-26
9.64,9.64,9.54,9.61,-0.10,776254.00,2019-06-27
9.60,9.61,9.55,9.58,-0.31,1033330.00,2019-06-30
9.58,9.58,9.51,9.51,-0.73,846900.00,2019-07-01
9.50,9.60,9.45,9.59,0.84,432264.00,2019-07-02
9.59,9.65,9.59,9.65,0.63,801122.00,2019-07-03
9.65,9.65,9.62,9.62,-0.31,72932800.00,2019-07-04
9.62,9.64,9.57,9.63,0.10,1248100.00,2019-07-07
9.63,9.68,9.61,9.68,0.52,4636810.00,2019-07-08
9.69,9.78,9.67,9.67,-0.10,476321.00,2019-07-09
9.67,9.67,9.56,9.56,-1.14,920010.00,2019-07-10
9.55,9.55,9.47,9.49,-0.73,1692250.00,2019-07-11
9.54,9.54,9.51,9.52,0.32,631768.00,2019-07-14
9.53,9.65,9.53,9.65,1.37,18716000.00,2019-07-15
9.68,10.13,9.68,10.13,4.97,9707520.00,2019-07-16
10.12,10.13,10.10,10.13,0.00,684038.00,2019-07-17
10.13,10.14,10.11,10.12,-0.10,756216.00,2019-07-18
10.12,10.12,10.09,10.09,-0.30,1980370.00,2019-07-21
9.99,10.00,9.90,9.90,-1.88,1571350.00,2019-07-22
9.91,9.97,9.88,9.91,0.10,3350360.00,2019-07-23
9.91,10.00,9.89,10.00,0.91,698411.00,2019-07-24
10.00,10.01,9.88,9.89,-1.10,4625990.00,2019-07-25
9.90,10.13,9.90,10.05,1.62,4876290.00,2019-07-28
10.05,10.09,10.00,10.05,0.00,2158620.00,2019-07-29
10.04,10.05,9.97,10.03,-0.20,1060680.00,2019-07-30
10.02,10.14,10.01,10.11,0.80,2573440.00,2019-07-31
10.12,10.14,10.07,10.08,-0.30,5332140.00,2019-08-01
10.08,10.10,9.98,9.98,-0.99,747116.00,2019-08-04
10.07,10.09,9.99,10.09,1.10,2558100.00,2019-08-05
10.09,10.10,10.00,10.00,-0.89,1754730.00,2019-08-06
10.00,10.01,9.96,9.96,-0.40,871677.00,2019-08-07
9.96,9.97,9.93,9.94,-0.20,1408860.00,2019-08-08
9.94,9.97,9.92,9.96,0.20,1171650.00,2019-08-11
9.96,10.02,9.93,10.00,0.40,7026490.00,2019-08-12
10.02,10.02,10.00,10.00,0.00,447346.00,2019-08-13
10.01,10.01,9.94,9.96,-0.40,1333160.00,2019-08-14
9.96,9.96,9.95,9.96,0.00,474706.00,2019-08-15
9.95,9.97,9.90,9.90,-0.60,309419.00,2019-08-18
9.89,9.92,9.81,9.91,0.10,804267.00,2019-08-19
9.92,9.95,9.92,9.95,0.40,1484720.00,2019-08-20
9.94,9.94,9.92,9.92,-0.30,2189730.00,2019-08-21
9.92,9.94,9.89,9.90,-0.20,1059020.00,2019-08-22
9.89,9.89,9.84,9.88,-0.20,2025470.00,2019-08-25
9.89,9.89,9.82,9.82,-0.61,709882.00,2019-08-26
9.81,9.88,9.81,9.82,0.00,721622.00,2019-08-27
9.83,9.83,9.78,9.79,-0.31,509975.00,2019-08-28
9.79,9.79,9.74,9.78,-0.10,692167.00,2019-08-29
9.78,9.78,9.68,9.70,-0.82,1380700.00,2019-09-01
9.69,9.69,9.63,9.63,-0.72,405162.00,2019-09-02
9.63,9.63,9.60,9.63,0.00,907410.00,2019-09-03
9.63,9.72,9.60,9.72,0.93,400645.00,2019-09-04
