open,high,low,close,percent_change,turnover,date
6199.45,6201.18,6111.78,6111.78,-1.41,13601200.00,2018-07-17
6111.78,6111.78,6045.31,6050.17,-1.01,11308000.00,2018-07-18
6050.17,6045.78,5959.83,5969.35,-1.34,58318800.00,2018-07-19
5969.35,5966.88,5858.15,5858.75,-1.85,22191500.00,2018-07-22
5858.75,5999.21,5835.40,5992.26,2.28,26741000.00,2018-07-23
5992.26,6166.05,5988.61,6012.15,0.33,33700500.00,2018-07-24
5992.26,6015.01,5925.16,5931.93,-1.33,16354200.00,2018-07-25
5931.93,5936.13,5891.43,5904.76,-0.46,17567000.00,2018-07-26
5904.76,5936.38,5901.31,5914.68,0.17,9795970.00,2018-07-29
5914.68,5921.16,5892.20,5899.96,-0.25,23006500.00,2018-07-30
5899.96,5907.44,5869.40,5875.01,-0.42,13894000.00,2018-07-31
5875.01,5911.07,5865.23,5907.42,0.55,11544900.00,2018-08-01
5907.42,5917.54,5848.36,5850.05,-0.97,17448100.00,2018-08-02
5850.05,5856.68,5819.13,5819.13,-0.53,15362100.00,2018-08-05
5819.13,5825.00,5806.67,5819.04,0.00,13686700.00,2018-08-06
5819.04,5832.28,5794.42,5830.09,0.19,10982400.00,2018-08-07
5830.09,5832.90,5803.88,5825.88,-0.07,13093000.00,2018-08-08
5825.88,5820.69,5750.63,5755.81,-1.20,21080800.00,2018-08-09
5755.81,5756.44,5641.64,5650.07,-1.84,30465500.00,2018-08-12
5650.07,5756.08,5641.01,5725.62,1.34,27929200.00,2018-08-13
5725.62,5780.36,5701.53,5775.63,0.87,18025400.00,2018-08-14
5775.63,6002.02,5775.36,5981.27,3.56,30961700.00,2018-08-15
5981.27,6091.10,5933.08,5960.50,-0.35,56691600.00,2018-08-16
5960.50,5964.66,5856.77,5857.24,-1.73,23358100.00,2018-08-19
5857.24,5861.89,5797.50,5797.50,-1.02,16834600.00,2018-08-20
5857.24,5807.65,5778.94,5801.97,0.08,31766200.00,2018-08-21
5801.97,5804.25,5769.56,5794.18,-0.13,13483800.00,2018-08-22
5794.18,5804.73,5722.75,5766.63,-0.48,46128400.00,2018-08-23
5766.63,5767.66,5721.49,5724.15,-0.74,15789200.00,2018-08-26
5724.15,5730.97,5708.91,5730.09,0.10,19970900.00,2018-08-28
5730.09,5730.09,5690.76,5701.69,-0.50,17763600.00,2018-08-29
5701.69,5787.67,5695.11,5764.15,1.10,21186800.00,2018-08-30
5764.15,5855.67,5758.11,5793.58,0.51,14194600.00,2018-09-02
5793.58,5927.59,5783.12,5890.24,1.67,26940300.00,2018-09-03
5890.24,5935.58,5853.95,5892.54,0.04,25756200.00,2018-09-04
5892.54,6144.57,5886.88,6055.21,2.76,52177100.00,2018-09-05
6055.21,6123.22,5955.31,5971.14,-1.39,70264896.00,2018-09-06
5971.14,5971.14,5879.27,5885.20,-1.44,16748300.00,2018-09-09
5885.20,5888.84,5819.78,5826.61,-1.00,13004200.00,2018-09-10
5826.61,5940.74,5761.19,5761.33,-1.12,21414400.00,2018-09-11
5761.33,5874.85,5702.58,5874.85,1.97,25292700.00,2018-09-12
5874.85,5934.24,5811.25,5833.44,-0.70,26366400.00,2018-09-13
5833.44,5969.21,5836.88,5853.62,0.35,47069500.00,2018-09-16
5853.62,6099.49,5834.06,6057.08,3.48,89841296.00,2018-09-17
6057.08,6164.97,6051.81,6131.03,1.22,112719000.00,2018-09-18
6131.03,6157.27,6003.09,6023.55,-1.75,51045200.00,2018-09-20
6023.55,6023.21,5954.22,5960.92,-1.04,22434800.00,2018-09-23
5960.92,6036.25,5963.26,6024.30,1.06,39710700.00,2018-09-25
6025.57,6057.37,5972.65,6001.30,-0.40,35810600.00,2018-09-26
6001.30,6001.35,5913.34,5934.28,-1.12,26988000.00,2018-09-27
5934.28,5928.55,5868.40,5876.00,-0.98,18373400.00,2018-09-30
5876.00,5879.30,5793.50,5804.27,-1.22,23170000.00,2018-10-01
5804.27,5840.76,5795.48,5816.42,0.21,37487100.00,2018-10-02
5816.42,5846.57,5758.37,5765.04,-0.88,23177500.00,2018-10-03
5765.04,5771.28,5732.73,5750.74,-0.25,29947400.00,2018-10-04
5750.74,5750.60,5626.31,5648.49,-1.78,32343500.00,2018-10-07
5648.49,5679.54,5645.56,5678.99,0.54,18909900.00,2018-10-08
5678.99,5694.44,5624.29,5641.35,-0.66,24538600.00,2018-10-09
5641.35,5649.78,5610.41,5636.26,-0.09,11281600.00,2018-10-10
5636.26,5685.69,5608.22,5685.69,0.88,14986100.00,2018-10-11
5685.69,5776.22,5681.50,5773.30,1.54,11429100.00,2018-10-14
5773.30,5787.07,5734.93,5784.85,0.20,19898700.00,2018-10-15
5784.85,5815.91,5778.62,5782.97,-0.03,3005920.00,2018-10-21
5782.97,5793.88,5746.11,5754.22,-0.50,6913580.00,2018-10-22
5754.22,5774.57,5676.58,5682.75,-1.24,12176900.00,2018-10-23
5682.75,5748.45,5662.42,5746.43,1.12,17509400.00,2018-10-24
5746.43,5764.36,5703.27,5706.19,-0.70,11642700.00,2018-10-25
5706.19,5708.09,5625.00,5626.46,-1.40,18846700.00,2018-10-28
5626.46,5621.28,5549.75,5550.79,-1.34,16018400.00,2018-10-29
5550.79,5579.61,5547.75,5573.78,0.41,13556900.00,2018-10-30
5573.78,5607.38,5567.34,5603.81,0.54,10585400.00,2018-10-31
5603.81,5626.17,5587.12,5611.66,0.14,14466600.00,2018-11-01
5611.66,5606.98,5543.72,5546.27,-1.17,6966530.00,2018-11-04
5546.27,5636.29,5543.71,5633.72,1.58,7843110.00,2018-11-05
5618.05,5618.05,5618.05,5618.05,0.28,2561190.00,2018-11-06
5620.47,5625.82,5574.99,5574.99,-0.77,7194720.00,2018-11-11
5572.55,5606.43,5477.84,5487.31,-1.57,18823800.00,2018-11-12
5488.50,5572.32,5485.58,5567.10,1.45,22044400.00,2018-11-13
5562.96,5620.46,5556.45,5567.10,1.45,18678400.00,2018-11-14
5601.28,5601.28,5564.35,5574.51,0.13,23358100.00,2018-11-15
5568.15,5568.15,5526.30,5550.30,-0.43,24624200.00,2018-11-18
5584.40,5584.40,5535.68,5550.89,0.01,24393600.00,2018-11-19
5553.78,5553.78,5475.54,5488.86,-1.13,20443600.00,2018-11-20
5485.77,5486.81,5462.65,5481.54,-0.13,24687100.00,2018-11-21
5478.96,5497.73,5462.22,5482.15,0.01,25966400.00,2018-11-22
5488.04,5488.04,5385.39,5386.87,-1.74,27493100.00,2018-11-25
5380.51,5391.21,5294.78,5298.76,-1.64,50751500.00,2018-11-26
5294.89,5330.59,5270.65,5271.51,-0.51,31585200.00,2018-11-27
5271.51,5279.25,5238.33,5249.08,-0.43,43533000.00,2018-11-28
5252.55,5254.70,5143.01,5131.25,-2.24,47739200.00,2018-11-29
5133.33,5141.32,4979.10,4991.85,-2.72,84579504.00,2018-12-02
4990.28,5109.20,4969.50,5083.94,1.84,61508400.00,2018-12-03
5082.21,5119.17,5043.64,5099.06,0.30,36960200.00,2018-12-04
5094.67,5094.67,4901.47,4913.07,-3.73,54442100.00,2018-12-05
4907.18,4981.60,4855.54,4948.66,0.72,46390500.00,2018-12-06
4943.77,4989.72,4920.80,4988.55,0.81,23867100.00,2018-12-09
4992.02,5082.96,4992.02,5060.60,1.44,50270000.00,2018-12-10
5071.89,5076.15,5027.84,5031.71,-0.57,33072700.00,2018-12-11
5037.60,5041.05,4999.38,5021.02,-0.21,25328700.00,2018-12-12
5030.41,5148.07,5024.76,5086.80,1.31,83608304.00,2018-12-13
5083.13,5254.00,5076.21,5254.00,3.29,48099400.00,2018-12-16
5253.32,5470.72,5235.59,5470.72,4.12,58387900.00,2018-12-17
5472.81,5519.43,5276.30,5278.40,-3.52,128585000.00,2018-12-18
5274.73,5402.20,5233.41,5296.09,0.34,83528000.00,2018-12-19
5292.79,5362.85,5292.79,5326.58,0.58,64814800.00,2018-12-20
5331.28,5644.60,5331.28,5644.60,5.97,141055008.00,2018-12-23
5648.63,5767.44,5582.10,5624.13,-0.36,237052000.00,2018-12-24
5606.52,5621.99,5568.81,5599.77,-0.43,65002100.00,2018-12-25
5587.95,5844.82,5581.60,5844.82,4.38,223626000.00,2018-12-26
5850.57,6027.26,5758.69,5796.15,-0.83,458116992.00,2018-12-27
5801.38,5910.68,5745.82,5825.96,0.51,139412992.00,2018-12-30
5829.99,5833.04,5703.73,5708.31,-2.02,135383008.00,2018-12-31
5665.37,5738.25,5656.37,5675.45,-0.58,58793700.00,2019-01-01
5675.45,5675.45,5646.18,5668.55,-0.15,53367900.00,2019-01-02
5671.42,5720.97,5663.71,5683.57,0.26,63472400.00,2019-01-03
5678.24,5678.24,5600.98,5604.49,-1.39,53335000.00,2019-01-06
5599.54,5687.37,5599.54,5687.37,1.48,75364000.00,2019-01-07
5685.29,5722.93,5667.38,5649.24,-0.67,62830900.00,2019-01-08
5685.29,5649.24,5686.74,5655.54,0.11,45382900.00,2019-01-09
5655.54,5690.25,5650.00,5677.71,0.39,42980500.00,2019-01-10
5674.22,5674.22,5606.44,5606.44,-1.26,43650100.00,2019-01-13
5606.44,5625.69,5585.77,5625.69,0.34,36195800.00,2019-01-14
5619.62,5858.61,5619.62,5858.61,4.14,122806000.00,2019-01-15
5858.61,5896.96,5746.43,5746.43,-1.91,98849800.00,2019-01-16
5749.25,5750.29,5684.07,5684.07,-1.09,40440800.00,2019-01-17
5681.65,5681.65,5631.42,5646.40,-0.66,16508300.00,2019-01-20
5621.13,5625.99,5602.15,5602.15,-0.78,48006000.00,2019-01-21
5607.29,5639.33,5577.32,5607.82,0.10,29997900.00,2019-01-22
5600.16,5665.89,5586.65,5665.89,1.04,38608800.00,2019-01-23
5669.61,5685.36,5648.29,5683.16,0.30,45747400.00,2019-01-24
5676.58,5681.33,5579.10,5580.80,-1.80,57828500.00,2019-01-27
5592.87,5661.81,5592.87,5661.81,1.45,26067300.00,2019-01-28
5665.84,5667.78,5594.96,5601.57,-1.06,41789200.00,2019-01-29
5608.50,5633.06,5593.13,5593.13,-0.15,26811100.00,2019-01-30
5591.21,5591.21,5569.13,5582.02,-0.20,37486700.00,2019-01-31
5582.38,5583.12,5537.85,5545.71,-0.65,42450200.00,2019-02-03
5546.40,5546.92,5505.90,5525.46,-0.37,60833500.00,2019-02-04
5526.33,5553.10,5513.57,5537.89,0.22,29871500.00,2019-02-05
5545.31,5550.83,5503.10,5510.35,-0.50,45729700.00,2019-02-06
5507.79,5510.85,5484.64,5487.87,-0.41,57387500.00,2019-02-07
5503.62,5503.62,5373.48,5377.79,-2.01,44974800.00,2019-02-10
5382.00,5458.15,5363.20,5388.00,0.19,45586300.00,2019-02-11
5394.14,5411.94,5375.74,5402.45,0.27,27074700.00,2019-02-12
5405.46,5407.53,5369.34,5375.73,-0.49,48260000.00,2019-02-13
5371.58,5371.58,5299.63,5305.56,-1.31,43597300.00,2019-02-14
5307.29,5365.45,5275.75,5296.51,-0.17,28368900.00,2019-02-17
5302.37,5302.37,5263.96,5283.63,-0.24,27757500.00,2019-02-18
5286.70,5430.95,5286.70,5430.95,2.79,44595400.00,2019-02-19
5477.31,5488.02,5335.93,5332.10,-1.94,25842930.00,2019-02-20
5329.13,5359.56,5322.58,5342.14,0.19,19113976.00,2019-02-21
5340.05,5340.05,5271.19,5272.94,-1.30,41799600.00,2019-02-24
5275.01,5345.11,5245.66,5345.11,1.37,33802500.00,2019-02-25
5344.76,5349.51,5289.34,5300.09,-0.84,27794700.00,2019-02-26
5297.68,5348.68,5285.73,5317.12,0.32,48612600.00,2019-02-27
5315.16,5325.54,5289.40,5289.40,-0.52,60685900.00,2019-03-03
