open,high,low,close,percent_change,turnover,date
93.00,93.00,93.00,93.00,-0.23,0.00,2011-03-25
92.00,92.00,92.00,92.00,-1.26,0.00,2011-03-27
90.00,90.00,90.00,90.00,-2.04,0.00,2011-03-28
88.00,88.00,88.00,88.00,-2.32,0.00,2011-03-29
88.00,88.00,88.00,88.00,0.35,0.00,2011-03-30
90.00,90.00,90.00,90.00,1.66,0.00,2011-03-31
90.00,90.00,90.00,90.00,-0.10,0.00,2011-04-04
90.00,90.00,90.00,90.00,-0.15,0.00,2011-04-05
90.00,90.00,90.00,90.00,0.06,0.00,2011-04-06
90.00,90.00,90.00,90.00,0.34,0.00,2011-04-07
90.00,90.00,90.00,90.00,0.13,0.00,2011-04-10
90.00,90.00,90.00,90.00,-0.55,0.00,2011-04-11
92.00,92.00,92.00,92.00,2.36,0.00,2011-04-13
90.00,90.00,90.00,90.00,-1.66,0.00,2011-04-17
90.00,90.00,90.00,90.00,-0.63,0.00,2011-04-18
89.00,89.00,89.00,89.00,-0.43,0.00,2011-04-19
88.00,88.00,88.00,88.00,-1.09,0.00,2011-04-20
88.00,88.00,88.00,88.00,-0.69,0.00,2011-04-21
87.00,87.00,87.00,87.00,-0.67,0.00,2011-04-25
87.00,87.00,87.00,87.00,-0.17,0.00,2011-04-26
85.00,85.00,85.00,85.00,-2.07,0.00,2011-04-27
85.00,85.00,85.00,85.00,-0.88,0.00,2011-04-28
85.00,85.00,85.00,85.00,-1.03,0.00,2011-05-02
82.00,82.00,82.00,82.00,-1.69,0.00,2011-05-03
82.00,82.00,82.00,82.00,-0.19,0.00,2011-05-04
82.00,82.00,82.00,82.00,0.22,0.00,2011-05-05
83.00,83.00,83.00,83.00,0.37,0.00,2011-05-08
83.00,83.00,83.00,83.00,0.11,0.00,2011-05-09
84.00,84.00,84.00,84.00,1.17,0.00,2011-05-10
84.00,84.00,84.00,84.00,0.32,0.00,2011-05-11
85.00,85.00,85.00,85.00,0.67,0.00,2011-05-12
85.00,85.00,85.00,85.00,0.92,0.00,2011-05-15
86.00,86.00,86.00,86.00,0.35,0.00,2011-05-16
85.00,85.00,85.00,85.00,-0.95,0.00,2011-05-18
85.00,85.00,85.00,85.00,-0.43,0.00,2011-05-19
85.00,85.00,85.00,85.00,-0.13,0.00,2011-05-22
84.00,84.00,84.00,84.00,-0.53,0.00,2011-05-23
84.00,84.00,84.00,84.00,-0.21,0.00,2011-05-24
84.00,84.00,84.00,84.00,0.17,0.00,2011-05-25
85.00,85.00,85.00,85.00,0.97,0.00,2011-05-26
85.00,85.00,85.00,85.00,-0.48,0.00,2011-05-30
83.00,83.00,83.00,83.00,-1.97,0.00,2011-05-31
83.00,83.00,83.00,83.00,-0.25,0.00,2011-06-01
82.00,82.00,82.00,82.00,-0.58,0.00,2011-06-02
81.00,81.00,81.00,81.00,-1.98,0.00,2011-06-05
80.00,80.00,80.00,80.00,-1.47,0.00,2011-06-06
78.00,78.00,78.00,78.00,-1.93,0.00,2011-06-07
76.00,76.00,76.00,76.00,-2.12,0.00,2011-06-08
75.00,75.00,75.00,75.00,-1.53,0.00,2011-06-09
74.00,74.00,74.00,74.00,-1.73,0.00,2011-06-12
74.00,74.00,74.00,74.00,-0.93,0.00,2011-06-13
73.00,73.00,73.00,73.00,-1.57,0.00,2011-06-14
71.00,71.00,71.00,71.00,-2.14,0.00,2011-06-15
74.00,74.00,74.00,74.00,4.33,0.00,2011-06-16
78.00,78.00,78.00,78.00,5.45,0.00,2011-06-19
81.00,81.00,81.00,81.00,3.88,0.00,2011-06-20
85.00,85.00,85.00,85.00,4.35,0.00,2011-06-21
90.00,90.00,90.00,90.00,6.11,0.00,2011-06-23
85.00,85.00,85.00,85.00,-5.51,0.00,2011-06-26
80.00,80.00,80.00,80.00,-5.59,0.00,2011-06-27
81.00,81.00,81.00,81.00,1.21,0.00,2011-06-29
82.00,82.00,82.00,82.00,1.31,0.00,2011-06-30
81.00,81.00,81.00,81.00,-1.04,0.00,2011-07-03
82.00,82.00,82.00,82.00,0.48,0.00,2011-07-04
84.00,84.00,84.00,84.00,2.33,0.00,2011-07-05
84.00,84.00,84.00,84.00,0.86,0.00,2011-07-06
83.00,83.00,83.00,83.00,-1.30,0.00,2011-07-07
85.00,85.00,85.00,85.00,1.58,0.00,2011-07-10
84.00,84.00,84.00,84.00,-0.23,0.00,2011-07-11
86.00,86.00,86.00,86.00,1.83,0.00,2011-07-12
87.00,87.00,87.00,87.00,1.26,0.00,2011-07-13
89.00,89.00,89.00,89.00,1.91,0.00,2011-07-14
93.00,93.00,93.00,93.00,5.86,0.00,2011-07-17
91.00,91.00,91.00,91.00,-2.52,0.00,2011-07-18
92.00,92.00,92.00,92.00,1.33,0.00,2011-07-19
93.00,93.00,93.00,93.00,1.78,0.00,2011-07-20
93.00,93.00,93.00,93.00,-0.80,0.00,2011-07-21
90.00,90.00,90.00,90.00,-3.07,0.00,2011-07-24
89.00,89.00,89.00,89.00,-1.29,0.00,2011-07-25
88.00,88.00,88.00,88.00,-0.88,0.00,2011-07-26
90.00,90.00,90.00,90.00,2.03,0.00,2011-07-27
89.00,89.00,89.00,89.00,-0.76,0.00,2011-07-28
88.00,88.00,88.00,88.00,-1.22,0.00,2011-07-31
88.00,88.00,88.00,88.00,-0.31,0.00,2011-08-01
88.00,88.00,88.00,88.00,-0.16,0.00,2011-08-02
88.00,88.00,88.00,88.00,-0.38,0.00,2011-08-03
88.00,88.00,88.00,88.00,0.51,0.00,2011-08-04
