open,high,low,close,percent_change,turnover,date
28.00,28.00,28.00,28.00,-0.24,0.00,2011-03-25
28.00,28.00,28.00,28.00,-1.26,0.00,2011-03-27
27.00,27.00,27.00,27.00,-1.83,0.00,2011-03-28
27.00,27.00,27.00,27.00,-1.87,0.00,2011-03-29
26.00,26.00,26.00,26.00,-0.51,0.00,2011-03-30
27.00,27.00,27.00,27.00,1.98,0.00,2011-03-31
27.00,27.00,27.00,27.00,-0.03,0.00,2011-04-04
27.00,27.00,27.00,27.00,-0.51,0.00,2011-04-05
27.00,27.00,27.00,27.00,0.03,0.00,2011-04-06
27.00,27.00,27.00,27.00,0.66,0.00,2011-04-07
27.00,27.00,27.00,27.00,0.19,0.00,2011-04-10
27.00,27.00,27.00,27.00,-0.29,0.00,2011-04-11
28.00,28.00,28.00,28.00,2.40,0.00,2011-04-13
27.00,27.00,27.00,27.00,-2.47,0.00,2011-04-17
27.00,27.00,27.00,27.00,-0.68,0.00,2011-04-18
27.00,27.00,27.00,27.00,-0.66,0.00,2011-04-19
26.00,26.00,26.00,26.00,-0.80,0.00,2011-04-20
26.00,26.00,26.00,26.00,-0.38,0.00,2011-04-21
26.00,26.00,26.00,26.00,-0.69,0.00,2011-04-25
26.00,26.00,26.00,26.00,-0.12,0.00,2011-04-26
26.00,26.00,26.00,26.00,-0.44,0.00,2011-04-27
26.00,26.00,26.00,26.00,-0.99,0.00,2011-04-28
25.00,25.00,25.00,25.00,-0.74,0.00,2011-05-02
25.00,25.00,25.00,25.00,-0.92,0.00,2011-05-03
25.00,25.00,25.00,25.00,-0.83,0.00,2011-05-04
25.00,25.00,25.00,25.00,0.23,0.00,2011-05-05
25.00,25.00,25.00,25.00,0.06,0.00,2011-05-08
25.00,25.00,25.00,25.00,0.04,0.00,2011-05-09
26.00,26.00,26.00,26.00,1.65,0.00,2011-05-10
26.00,26.00,26.00,26.00,0.38,0.00,2011-05-11
26.00,26.00,26.00,26.00,0.62,0.00,2011-05-12
26.00,26.00,26.00,26.00,1.54,0.00,2011-05-15
26.00,26.00,26.00,26.00,0.58,0.00,2011-05-16
26.00,26.00,26.00,26.00,-1.41,0.00,2011-05-18
26.00,26.00,26.00,26.00,-0.46,0.00,2011-05-19
26.00,26.00,26.00,26.00,-0.11,0.00,2011-05-22
26.00,26.00,26.00,26.00,-0.23,0.00,2011-05-23
26.00,26.00,26.00,26.00,0.05,0.00,2011-05-24
26.00,26.00,26.00,26.00,0.47,0.00,2011-05-25
26.00,26.00,26.00,26.00,0.03,0.00,2011-05-26
26.00,26.00,26.00,26.00,0.32,0.00,2011-05-30
25.00,25.00,25.00,25.00,-2.17,0.00,2011-05-31
25.00,25.00,25.00,25.00,-0.39,0.00,2011-06-01
25.00,25.00,25.00,25.00,-0.86,0.00,2011-06-02
24.00,24.00,24.00,24.00,-1.34,0.00,2011-06-06
24.00,24.00,24.00,24.00,-2.05,0.00,2011-06-07
23.00,23.00,23.00,23.00,-2.18,0.00,2011-06-08
23.00,23.00,23.00,23.00,-1.64,0.00,2011-06-09
23.00,23.00,23.00,23.00,-1.63,0.00,2011-06-12
22.00,22.00,22.00,22.00,-2.12,0.00,2011-06-13
21.00,21.00,21.00,21.00,-2.94,0.00,2011-06-14
21.00,21.00,21.00,21.00,-3.16,0.00,2011-06-15
22.00,22.00,22.00,22.00,5.06,0.00,2011-06-16
24.00,24.00,24.00,24.00,6.24,0.00,2011-06-20
28.00,28.00,28.00,28.00,6.72,0.00,2011-06-23
26.00,26.00,26.00,26.00,-5.50,0.00,2011-06-26
24.00,24.00,24.00,24.00,-6.23,0.00,2011-06-27
25.00,25.00,25.00,25.00,1.42,0.00,2011-06-29
25.00,25.00,25.00,25.00,-0.45,0.00,2011-06-30
24.00,24.00,24.00,24.00,-0.75,0.00,2011-07-03
25.00,25.00,25.00,25.00,0.59,0.00,2011-07-04
