symbol,listing_date,end_date,years,start_price,ltp,initial_investment,total_units,market_value,cash_dividends,right_share_cost,total_invested,total_value,cagr_pct
RSML,2026-02-16,2026-02-17,0.00,330.00,361.80,100000,303.03,109636.36,0.00,0.00,100000.00,109636.36,39212625477452848.00
SABBL,2026-02-16,2026-05-08,0.22,330.00,1235.00,100000,303.03,374242.42,0.00,0.00,100000.00,374242.42,38314.53
JHAPA,2025-11-16,2026-05-08,0.47,311.20,1840.00,100000,321.34,591259.64,0.00,0.00,100000.00,591259.64,4160.23
SWASTIK,2025-11-11,2026-05-08,0.49,407.40,2485.00,100000,245.46,609965.64,0.00,0.00,100000.00,609965.64,3987.15
SYPNL,2025-12-10,2026-05-08,0.41,351.70,1465.00,100000,284.33,416548.19,0.00,0.00,100000.00,416548.19,3203.78
SAGAR,2025-11-09,2026-05-08,0.49,351.40,1729.00,100000,284.58,492031.87,0.00,0.00,100000.00,492031.87,2436.12
SAIL,2025-11-24,2026-05-08,0.45,331.80,1145.00,100000,301.39,345087.40,0.00,0.00,100000.00,345087.40,1451.60
BANDIPUR,2025-11-11,2026-05-08,0.49,313.50,832.00,100000,318.98,265390.75,0.00,0.00,100000.00,265390.75,640.97
HIMSTAR,2025-09-01,2026-05-08,0.68,267.50,909.90,100000,373.83,340149.53,0.00,0.00,100000.00,340149.53,502.41
OMPL,2025-05-04,2026-05-08,1.01,297.00,1170.00,100000,336.70,393939.39,0.00,0.00,100000.00,393939.39,288.49
MABEL,2025-11-04,2026-05-08,0.51,349.40,660.00,100000,286.20,188895.25,0.00,0.00,100000.00,188895.25,251.03
PURE,2025-05-27,2026-05-08,0.95,318.20,977.10,100000,314.27,307071.02,0.00,0.00,100000.00,307071.02,226.85
GMLI,2025-02-09,2026-05-08,1.24,331.10,1295.00,100000,302.02,391120.51,0.00,0.00,100000.00,391120.51,200.31
BUNGAL,2025-11-10,2026-05-08,0.49,332.60,569.10,100000,300.66,171106.43,0.00,0.00,100000.00,171106.43,199.21
CREST,2025-04-10,2026-05-08,1.08,332.70,1081.50,100000,300.57,325067.63,0.00,0.00,100000.00,325067.63,199.10
NMIC,2025-04-08,2026-05-08,1.08,332.50,1006.00,100000,300.75,302556.39,0.00,0.00,100000.00,302556.39,178.35
ANLB,2023-05-02,2026-05-08,3.02,436.90,6050.00,100000,328.64,1988284.07,1549.00,0.00,100000.00,1989833.06,169.45
TTL,2025-07-17,2026-05-08,0.81,402.70,819.90,100000,248.32,203600.70,0.00,0.00,100000.00,203600.70,141.16
